node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Project,230.0,230.0,230.0,2020-10-26 08:00:00,2021-09-10 17:00:00,,0
1,1.1,Official PO accepted by Myriade = Start of contract,0.0,0.0,0.0,2020-10-26 08:00:00,2020-10-23 17:00:00,,0
2,1.1.1,Payment milestone #1,0.0,0.0,0.0,2020-10-26 08:00:00,2020-10-23 17:00:00,Admin & Contract (Customer);PM Myriade;Program Manager,0
3,1.2,Visit current operations and kick off meeting ,2.0,1.6,2.4,2020-10-26 08:00:00,2020-10-27 17:00:00,PM Customer[50%];PM Myriade[50%];PM Partner[50%],0
4,1.3,Initial Training Key Users,10.0,10.0,10.0,2020-10-28 08:00:00,2020-11-10 17:00:00,,0
5,1.3.1,Training key users customer & partner in preparation Workshops,10.0,8.0,12.0,2020-10-28 08:00:00,2020-11-10 17:00:00,Training Manager[10%];Trainer (Myriade)[50%];Trainer (Partner)[50%];Key User[50%],0
6,1.3.2,Introduce documents  User Guide + Deployment & Configuration,10.0,8.0,12.0,2020-10-28 08:00:00,2020-11-10 17:00:00,Key User[5%];PM Customer[5%];PM Myriade[1%];PM Partner[1%],0
7,1.4,Access to Myriade test system for experience building & play,50.0,40.0,60.0,2020-11-12 08:00:00,2021-01-20 17:00:00,Key User[50%];PM Customer[5%];PM Partner[5%];Trainer (Myriade)[20%];Trainer (Customer)[20%];Trainer (Partner)[20%],0
8,1.5,"Collection of data & information (network, people, credentials, etc.) ",21.0,21.0,21.0,2020-10-28 08:00:00,2020-11-25 17:00:00,,0
9,1.5.1,Contact details of all people (and their backups) = Resources,10.0,8.0,12.0,2020-10-28 08:00:00,2020-11-10 17:00:00,PM Customer[10%];PM Partner[10%];PM Myriade[5%],0
10,1.5.2,Introduce Camera List template (Excel) to complete,10.0,8.0,12.0,2020-10-28 08:00:00,2020-11-10 17:00:00,PM Customer[1%];PM Myriade[1%];PM Partner[1%];Camera Engineer[20%];Camera Mgr[40%];Domain Admin[5%],0
11,1.5.3,Introduce Alarm List template (Excel) to complete,10.0,8.0,12.0,2020-10-28 08:00:00,2020-11-10 17:00:00,Alarm List Mgr[50%];PM Customer[5%];PM Myriade[5%];PM Partner[5%],0
12,1.5.4,Prepare Active Directory Integration (LDAP/SAML),10.0,8.0,12.0,2020-10-28 08:00:00,2020-11-10 17:00:00,Domain Admin[10%];GM Customer[1%];GM Myriade[1%];GM Partner[1%];Infrastructure Mgr[10%];Security Mgr[10%],0
13,1.5.5,"Review passages (average day, average night, peak) Statistics Collection.",10.0,8.0,12.0,2020-11-12 08:00:00,2020-11-25 17:00:00,PM Customer[10%];PM Partner[10%];PM Myriade[5%];Camera Engineer[10%];Camera Mgr[10%],0
14,1.5.6,"Count of Alarms Lists, Cameras, Concurrent users, Exports, reports, Features",10.0,8.0,12.0,2020-11-12 08:00:00,2020-11-25 17:00:00,Domain Admin[10%];GM Customer[1%];GM Myriade[1%];GM Partner[1%];Infrastructure Mgr[10%];Security Mgr[10%],0
15,1.5.7,Gather network information + credentials,10.0,8.0,12.0,2020-11-12 08:00:00,2020-11-25 17:00:00,Credential Admin[1%];Domain Admin[1%];PM Customer[2%];PM Partner[2%];PM Myriade[2%];Network Admin[20%];Network Engineer[10%],0
16,1.5.8,Review Hardware Scaling with customer,10.0,8.0,12.0,2020-11-12 08:00:00,2020-11-25 17:00:00,PM Customer[2%];PM Myriade[2%];PM Partner[2%],0
17,1.5.9,"Availability of FTP/SFTP/FTPS/SMTP/SMS/SNMP/NTP, etc.",10.0,8.0,12.0,2020-11-12 08:00:00,2020-11-25 17:00:00,Exchange Admin[2%];Firewall Engineer[2%];Network Admin[10%];Network Engineer[10%];Security Mgr[5%];Storage Engineer[5%],0
18,1.5.10,Choice of Geographical Information System (GIS) + Administrative DB,10.0,8.0,12.0,2020-11-12 08:00:00,2020-11-25 17:00:00,Infrastructure Mgr[1%];PM Customer[0%];PM Myriade[0%];PM Partner[0%];Program Manager[0%],0
19,1.5.11,Specifications of cameras & protocols,10.0,8.0,12.0,2020-11-12 08:00:00,2020-11-25 17:00:00,Camera Engineer[10%];Camera Mgr[10%];PM Customer[2%];PM Partner[2%],0
20,1.5.12,Specification of protocols for third party Alarm lists,10.0,8.0,12.0,2020-11-12 08:00:00,2020-11-25 17:00:00,Alarm List Mgr[5%];PM Customer[2%];PM Partner[2%],0
21,1.6,Virtual Test Environment,20.0,20.0,20.0,2020-11-26 08:00:00,2020-12-23 17:00:00,,0
22,1.6.1,Setup test virtual machines on Hyper-V farm customer,10.0,8.0,12.0,2020-11-26 08:00:00,2020-12-09 17:00:00,Domain Admin[5%];Infrastructure Mgr[5%];Network Admin[5%];Network Engineer[5%];PM Customer[1%];PM Myriade[1%];PM Partner[1%];Security Mgr[5%];SQL Admin[5%];Storage Engineer[5%],0
23,1.6.2,Testing performance of customer supplied VM's on Hyper-V farm,10.0,8.0,12.0,2020-12-10 08:00:00,2020-12-23 17:00:00,Domain Admin[1%];Infrastructure Mgr[1%];Network Admin[1%];Network Engineer[1%];PM Customer[1%];PM Myriade[20%];PM Partner[20%];Security Mgr[1%];SQL Admin[1%];Storage Engineer[1%],0
24,1.7,Workshops with customer to fine-tune requirement in Tender (iteration),25.0,25.0,25.0,2020-11-26 08:00:00,2020-12-30 17:00:00,,0
25,1.7.1,Workhop to clarify Tender and deepen understanding of details,25.0,20.0,30.0,2020-11-26 08:00:00,2020-12-30 17:00:00,BA Myriade[10%];BA Partner[10%];PM Myriade[2%];PM Partner[2%];Key User[10%],0
26,1.7.2,Write Change Requests/clarifications based on Tender to be developed,25.0,20.0,30.0,2020-11-26 08:00:00,2020-12-30 17:00:00,BA Myriade[20%];BA Partner[20%];PM Myriade[1%];PM Partner[1%];Key User[1%],0
27,1.7.3,Start identifying requests outside Tender requirements,25.0,20.0,30.0,2020-11-26 08:00:00,2020-12-30 17:00:00,BA Myriade[2%];BA Partner[2%];PM Myriade[2%];PM Partner[2%];Key User[2%];PM Customer[2%],0
28,1.7.4,Introduce Access Management topic & Template (critical & complex),10.0,8.0,12.0,2020-11-26 08:00:00,2020-12-09 17:00:00,Domain Admin[10%];PM Myriade[1%];PM Partner[1%];Program Manager[1%];Security Mgr[10%],0
29,1.7.5,Write General Project and Progress Plan,25.0,20.0,30.0,2020-11-26 08:00:00,2020-12-30 17:00:00,PM Customer[5%];PM Myriade[5%];PM Partner[5%];Program Manager[2%],0
30,1.7.6,Listing up new functionalities for follow-up and planning (monitoring),25.0,20.0,30.0,2020-11-26 08:00:00,2020-12-30 17:00:00,BA Myriade[5%];BA Partner[5%];PM Customer[1%];PM Myriade[1%];PM Partner[1%],0
31,1.8,Status Update,6.0,6.0,6.0,2020-12-31 17:00:00,2021-01-08 17:00:00,,0
32,1.8.1,Steerco #1,0.0,0.0,0.0,2020-12-31 17:00:00,2020-12-31 17:00:00,GM Customer[500%];GM Myriade[500%];GM Partner[500%];PM Customer[500%];PM Myriade[500%];PM Partner[500%];Program Manager[500%],0
33,1.8.2,Project plan signed by customer + Status information provided,5.0,4.0,6.0,2021-01-04 08:00:00,2021-01-08 17:00:00,GM Customer[6%];Program Manager[6%],0
34,1.8.3,Payment milestone #2,0.0,0.0,0.0,2021-01-08 17:00:00,2021-01-08 17:00:00,Admin & Contract (Customer);GM Myriade;Program Manager,0
35,1.9,Start development of requirements from Tender,112.0,112.0,112.0,2021-01-04 08:00:00,2021-06-08 17:00:00,,0
36,1.9.1,Architecture - Technical Specifications,10.0,8.0,12.0,2021-01-04 08:00:00,2021-01-15 17:00:00,Architect[20%];BA Myriade[20%];PM Myriade[2%],0
37,1.9.2,Development - Code Writing,100.0,80.0,120.0,2021-01-18 08:00:00,2021-06-04 17:00:00,Architect[20%];Developer [50%],0
38,1.9.3,"Internal Testing, automated testing",60.0,48.0,72.0,2021-03-01 08:00:00,2021-05-21 17:00:00,PM Myriade[1%];Program Manager[1%];Quality Control[50%],0
39,1.9.4,"Integration testing, Final manual testing, deployment testing",10.0,8.0,12.0,2021-05-26 08:00:00,2021-06-08 17:00:00,PM Myriade[2%];Program Manager[1%];Quality Control[20%],0
40,1.10,"Translation resource files to local language (if needed, iteration)",100.0,80.0,120.0,2020-11-12 08:00:00,2021-03-31 17:00:00,Translator (Partner)[45%];PM Partner[5%],0
41,1.11,Setup multiple Hyper-V environments in data center,30.0,30.0,30.0,2021-01-11 08:00:00,2021-02-19 17:00:00,,0
42,1.11.1,Review Scaling information (consider extra requirements),5.0,4.0,6.0,2021-01-11 08:00:00,2021-01-15 17:00:00,Firewall Engineer[20%];Infrastructure Mgr[20%];Network Admin[20%];Network Engineer[20%];PM Customer[1%];PM Myriade[1%];PM Partner[1%];Program Manager[1%],0
43,1.11.2,"If possible consider MMCR, OCR2, Blurring, WIM, etc.",5.0,4.0,6.0,2021-01-11 08:00:00,2021-01-15 17:00:00,Firewall Engineer[10%];Infrastructure Mgr[10%];Network Admin[2%];Network Engineer[2%];PM Customer[1%];PM Myriade[1%];PM Partner[1%];Program Manager[1%],0
44,1.11.3,Set up Staging Environment,20.0,16.0,24.0,2021-01-18 08:00:00,2021-02-12 17:00:00,Firewall Engineer[5%];Infrastructure Mgr[5%];Network Admin[5%];Network Engineer[5%];PM Customer[1%];PM Myriade[1%];PM Partner[1%];Program Manager[1%],0
45,1.11.4,Set up initial Production Environment,20.0,16.0,24.0,2021-01-18 08:00:00,2021-02-12 17:00:00,Firewall Engineer[5%];Infrastructure Mgr[5%];Network Admin[5%];Network Engineer[5%];PM Customer[1%];PM Myriade[1%];PM Partner[1%];Program Manager[1%],0
46,1.11.5,Set up Backup (Redundancy) Environment,20.0,16.0,24.0,2021-01-18 08:00:00,2021-02-12 17:00:00,Firewall Engineer[5%];Infrastructure Mgr[5%];Network Admin[5%];Network Engineer[5%];PM Customer[1%];PM Myriade[1%];PM Partner[1%];Program Manager[1%],0
47,1.11.6,"Duplicate data (Camera, etc) from Legacy system to New system (crucial)",20.0,16.0,24.0,2021-01-18 08:00:00,2021-02-12 17:00:00,Alarm List Mgr[5%];Camera Engineer[5%];Camera Mgr[5%];Network Admin[5%];Network Engineer[5%],0
48,1.11.7,Set up + Test Failover system,5.0,4.0,6.0,2021-02-15 08:00:00,2021-02-19 17:00:00,Camera Mgr[10%];Firewall Engineer[10%];Infrastructure Mgr[20%];Network Admin[20%];PM Partner[1%],0
49,1.12,Listing up all missing info to be delivered and documented by Partner,25.0,25.0,25.0,2021-01-04 08:00:00,2021-02-05 17:00:00,,0
50,1.12.1,Alarm Lists list (inventory existing Lists + planned ones),25.0,20.0,30.0,2021-01-04 08:00:00,2021-02-05 17:00:00,Alarm List Mgr[10%];PM Partner[1%],0
51,1.12.2,Camera List (inventory existing cameras + planned ones),25.0,20.0,30.0,2021-01-04 08:00:00,2021-02-05 17:00:00,Camera Engineer[5%];Camera Mgr[5%],0
52,1.13,Infrastructure Testing,15.0,15.0,15.0,2021-02-15 08:00:00,2021-03-05 17:00:00,,0
53,1.13.1,Testing performance of customer supplied VM's,5.0,4.0,6.0,2021-02-15 08:00:00,2021-02-19 17:00:00,Infrastructure Mgr[20%],0
54,1.13.2,Live tests on import data from existing cameras ,10.0,8.0,12.0,2021-02-22 08:00:00,2021-03-05 17:00:00,PM Customer[1%];Security Mgr[22%];Infrastructure Mgr[25%];Camera Engineer[10%];Camera Mgr[10%];PM Partner[1%],0
55,1.13.3,Test connections Lists and Third party & update frequency,10.0,8.0,12.0,2021-02-22 08:00:00,2021-03-05 17:00:00,L3 Support[1%];PM Myriade[0%];PM Partner[0%];Program Manager[1%],0
56,1.14,Legal issues (important - can take a lot of time),75.0,75.0,75.0,2021-02-08 08:00:00,2021-05-21 17:00:00,,0
57,1.14.1,GDPR,75.0,60.0,90.0,2021-02-08 08:00:00,2021-05-21 17:00:00,Data Privacy Officer[10%];GM Customer[1%];GM Myriade[1%];GM Partner[1%];Legal Officer[10%];Program Manager[1%],0
58,1.14.2,"Retention, Purging, Blurring, Security, etc",75.0,60.0,90.0,2021-02-08 08:00:00,2021-05-21 17:00:00,Data Privacy Officer[4%];GM Customer[1%];GM Myriade[1%];GM Partner[1%];Legal Officer[9%];Program Manager[1%];Network Admin[9%];Security Mgr[9%],0
59,1.15,Status Update,6.0,6.0,6.0,2021-03-08 08:00:00,2021-03-15 17:00:00,,0
60,1.15.1,Steerco #2,1.0,0.8,1.2,2021-03-08 08:00:00,2021-03-08 17:00:00,GM Customer[14%];GM Myriade[14%];GM Partner[14%];PM Customer[14%];PM Myriade[14%];PM Partner[14%];Program Manager[14%],0
61,1.15.2,Specifications (Tender Change Requests) signed by customer  ,5.0,4.0,6.0,2021-03-09 08:00:00,2021-03-15 17:00:00,GM Customer[2%];Program Manager[20%],0
62,1.15.3,Payment milestone #3,0.0,0.0,0.0,2021-03-15 17:00:00,2021-03-15 17:00:00,Admin & Contract (Customer)[20%];GM Myriade[1%];Program Manager[1%],0
63,1.16,"If interfaces are not Available (Alarm Lists, cameras, etc.)",45.0,45.0,45.0,2021-02-08 08:00:00,2021-04-09 17:00:00,,0
64,1.16.1,Creating dummy bidirectional feeder specifications for I/O Interfaces,20.0,16.0,24.0,2021-02-08 08:00:00,2021-03-05 17:00:00,PM Customer[20%];Alarm List Mgr[5%];PM Partner[1%],0
65,1.16.2,Development I/O interfaces (external feeders/interfaces) ,25.0,20.0,30.0,2021-03-08 08:00:00,2021-04-09 17:00:00,PM Customer[1%];Alarm List Mgr[10%];PM Partner[1%],0
66,1.17,Translation manuals,85.0,68.0,102.0,2020-11-12 08:00:00,2021-03-10 17:00:00,Translator (Partner)[45%],0
67,1.18,Development continued based on signed specifications,50.0,50.0,50.0,2021-03-16 08:00:00,2021-05-24 17:00:00,,0
68,1.18.1,Continue development of Tender functionalities,50.0,40.0,60.0,2021-03-16 08:00:00,2021-05-24 17:00:00,Architect[10%];Developer [50%];PM Myriade[1%],0
69,1.19,Status Update,22.0,22.0,22.0,2021-04-27 17:00:00,2021-05-27 17:00:00,,0
70,1.19.1,Steerco #3,0.0,0.0,0.0,2021-04-27 17:00:00,2021-04-27 17:00:00,GM Customer[500%];GM Myriade[500%];GM Partner[500%];PM Customer[500%];PM Myriade[500%];PM Partner[500%];Program Manager[500%],0
71,1.19.2,Progress Status update + review + fine-tuning,1.0,0.8,1.2,2021-05-27 08:00:00,2021-05-27 17:00:00,GM Customer[2%];GM Myriade[2%];GM Partner[2%];PM Customer[2%];PM Myriade[2%];PM Partner[2%];Program Manager[2%],0
72,1.20,Create Acceptance test plan,85.0,85.0,85.0,2021-01-11 08:00:00,2021-05-07 17:00:00,,0
73,1.20.1,Both existing and new functionalities + updated company processes,85.0,68.0,102.0,2021-01-11 08:00:00,2021-05-07 17:00:00,PM Customer[1%];Program Manager[1%];Test Manager[20%],0
74,1.21,Finish Development ,41.0,41.0,41.0,2021-03-29 08:00:00,2021-05-24 17:00:00,,0
75,1.21.1,Development user interface in function of new specifications in Tender,20.0,16.0,24.0,2021-03-29 08:00:00,2021-04-23 17:00:00,PM Customer[20%],0
76,1.21.2,Testing I/O Interfaces on existing installations,15.0,12.0,18.0,2021-04-12 08:00:00,2021-04-30 17:00:00,Infrastructure Mgr[20%];Security Mgr[20%];PM Customer[2%];PM Myriade[2%];PM Partner[2%],0
77,1.21.3,Testing process logic on existing installations,15.0,12.0,18.0,2021-05-04 08:00:00,2021-05-24 17:00:00,Infrastructure Mgr[20%];Security Mgr[20%];PM Customer[2%];PM Myriade[2%];PM Partner[2%],0
78,1.22,Configuration (final),27.0,27.0,27.0,2021-05-04 08:00:00,2021-06-09 17:00:00,,0
79,1.22.1,Final version solution installed (via Octopus),10.0,8.0,12.0,2021-05-04 08:00:00,2021-05-17 17:00:00,Developer [2%];L3 Support[10%];PM Myriade[2%],0
80,1.22.2,"All settings defined, Lists Uploaded, Cameras & sensors connected",10.0,8.0,12.0,2021-05-04 08:00:00,2021-05-17 17:00:00,Developer [2%];L3 Support[10%];PM Myriade[2%],0
81,1.22.3,"Neural Network MMCR, OCR2, etc up and running",10.0,8.0,12.0,2021-05-04 08:00:00,2021-05-17 17:00:00,Developer [2%];L3 Support[10%];PM Myriade[2%],0
82,1.22.4,"Special attention for Access Management, Security & Retention (law)",10.0,8.0,12.0,2021-05-04 08:00:00,2021-05-17 17:00:00,Domain Admin[5%];Network Admin[5%];Program Manager[1%];Security Mgr[5%],0
83,1.22.5,All tested internally at Myriade,10.0,8.0,12.0,2021-05-18 08:00:00,2021-05-31 17:00:00,Developer [2%];L3 Support[10%];PM Myriade[2%],0
84,1.22.6,Notification to customer: Acceptance Test version ready for testing,5.0,4.0,6.0,2021-06-03 08:00:00,2021-06-09 17:00:00,GM Myriade[1%];PM Myriade[2%];Program Manager[2%],0
85,1.23,Status Update,5.0,5.0,5.0,2021-06-09 17:00:00,2021-06-16 17:00:00,,0
86,1.23.1,Steerco #4,0.0,0.0,0.0,2021-06-09 17:00:00,2021-06-09 17:00:00,GM Customer[500%];GM Myriade[500%];GM Partner[500%];PM Customer[500%];PM Myriade[500%];PM Partner[500%];Program Manager[500%],0
87,1.23.2,Demonstration of system,1.0,0.8,1.2,2021-06-10 08:00:00,2021-06-10 17:00:00,GM Customer[1%];GM Myriade[1%];GM Partner[1%];PM Customer[1%];PM Myriade[1%];PM Partner[1%];Program Manager[1%],0
88,1.23.3,"Acceptance of delivery, start of Acceptance Testing based on plan",5.0,4.0,6.0,2021-06-10 08:00:00,2021-06-16 17:00:00,GM Customer[1%];Program Manager[1%],0
89,1.23.4,Payment milestone #4,0.0,0.0,0.0,2021-06-16 17:00:00,2021-06-16 17:00:00,Admin & Contract (Customer);GM Myriade;Program Manager,0
90,1.24,Training Test Users,15.0,15.0,15.0,2021-05-28 08:00:00,2021-06-17 17:00:00,,0
91,1.24.1,Demonstration of system,1.0,0.8,1.2,2021-06-10 08:00:00,2021-06-10 17:00:00,Training Manager[4%];PM Customer[4%];Key User[4%];PM Partner[4%];Tester User[4%],0
92,1.24.2,Training Tester users customer and partner,15.0,12.0,18.0,2021-05-28 08:00:00,2021-06-17 17:00:00,Training Manager[20%];PM Customer[1%];Key User[20%];PM Partner[1%];Tester User[20%],0
93,1.25,Acceptance Testing (possibly iteration),30.0,30.0,30.0,2021-06-10 08:00:00,2021-07-21 17:00:00,,0
94,1.25.1,Actual testing within set period,30.0,24.0,36.0,2021-06-10 08:00:00,2021-07-21 17:00:00,Key User[20%];PM Customer[5%];PM Myriade[5%];PM Partner[5%];Test Manager[20%];Tester User[20%],0
95,1.25.2,Regular meetings on Testing ,25.0,20.0,30.0,2021-06-10 08:00:00,2021-07-14 17:00:00,PM Customer[1%];PM Myriade[1%];PM Partner[1%];Test Manager[1%],0
96,1.25.3,Adaptations based on remarks customer ,5.0,4.0,6.0,2021-06-24 08:00:00,2021-06-30 17:00:00,BA Myriade[10%];BA Partner[10%];PM Myriade[10%];PM Partner[10%],0
97,1.25.4,Functional testing done - Product accepted notification,5.0,4.0,6.0,2021-07-01 08:00:00,2021-07-07 17:00:00,PM Customer[1%];PM Myriade[1%];PM Partner[1%];Program Manager[1%];Test Manager[10%],0
98,1.26,Training All users ,15.0,15.0,15.0,2021-06-10 08:00:00,2021-06-30 17:00:00,,0
99,1.26.1,Training all end-users,15.0,12.0,18.0,2021-06-10 08:00:00,2021-06-30 17:00:00,Key User[10%];Tester User[10%];Trainer (Customer)[10%];Trainer (Myriade)[1%];Trainer (Partner)[10%];Training Manager[10%];User[20%],0
100,1.26.2,"Train per profile type, per group and possibly per region",15.0,12.0,18.0,2021-06-10 08:00:00,2021-06-30 17:00:00,Key User[20%];Tester User[20%];Trainer (Customer)[10%];Trainer (Myriade)[1%];Trainer (Partner)[10%];Training Manager[10%];User[20%],0
101,1.27,Infrastructure & Performance,42.0,42.0,42.0,2021-07-08 08:00:00,2021-09-03 17:00:00,,0
102,1.27.1,Switch all production camera's to new system,20.0,16.0,24.0,2021-07-08 08:00:00,2021-08-04 17:00:00,Infrastructure Mgr[10%];Security Mgr[20%];PM Customer[20%],0
103,1.27.2,Additional VMs if needed as result of performance testing,10.0,8.0,12.0,2021-08-09 08:00:00,2021-08-20 17:00:00,Infrastructure Mgr[20%];PM Customer[10%],0
104,1.27.3,"Load Testing, is infrastructure sufficient?",10.0,8.0,12.0,2021-08-09 08:00:00,2021-08-20 17:00:00,Infrastructure Mgr[10%];Network Admin[10%];Network Engineer[10%];PM Customer[1%];PM Myriade[1%];PM Partner[1%];Program Manager[1%];Storage Engineer[10%],0
105,1.27.4,"Decisions on extras: MMCR, OCR2, Blurring, etc + infrastructure impact",10.0,8.0,12.0,2021-08-23 08:00:00,2021-09-03 17:00:00,Infrastructure Mgr[10%];Network Admin[10%];Network Engineer[10%];PM Customer[1%];PM Myriade[1%];PM Partner[1%];Program Manager[1%];Storage Engineer[10%];GM Customer[1%],0
106,1.28,Status Update,5.0,5.0,5.0,2021-09-03 17:00:00,2021-09-10 17:00:00,,0
107,1.28.1,Steerco #5,0.0,0.0,0.0,2021-09-03 17:00:00,2021-09-03 17:00:00,GM Customer[1%];GM Myriade[1%];GM Partner[1%];PM Customer[1%];PM Myriade[1%];PM Partner[1%];Program Manager[1%],0
108,1.28.2,Decision on Go-Live,5.0,4.0,6.0,2021-09-06 08:00:00,2021-09-10 17:00:00,GM Customer[1%];GM Myriade[1%];GM Partner[1%];PM Customer[1%];PM Myriade[1%];PM Partner[1%];Program Manager[1%],0
109,1.28.3,Payment milestone #5,0.0,0.0,0.0,2021-09-03 17:00:00,2021-09-03 17:00:00,Admin & Contract (Customer)[1%];GM Myriade[1%];Program Manager[1%],0
