node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Staff Authorization System,74.375,73.63,75.12,2014-02-24 08:00:00,2014-05-09 17:00:00,,14400
14,1.1,supporting tasks,49.2916666666667,48.8,49.78,2014-02-26 08:00:00,2014-04-16 15:00:00,,3525
1,1.1.1,project management,2.16666666666667,1.73,2.6,2014-02-26 08:00:00,2014-02-28 12:00:00,Employee A,1800
2,1.1.2,validation and support,0.0416666666666667,0.03,0.05,2014-04-14 08:00:00,2014-04-14 09:00:00,Employee B,75
3,1.1.3,validation and support,2.29166666666667,1.83,2.75,2014-04-14 08:00:00,2014-04-16 15:00:00,Employee C,1650
15,1.2,requirements,4.375,4.33,4.42,2014-02-24 08:00:00,2014-02-28 17:00:00,,1275
4,1.2.1,requirements,2.04166666666667,1.63,2.45,2014-02-24 08:00:00,2014-02-26 09:00:00,Employee D,1275
5,1.2.2,requirements validated,0.0,0.0,0.0,2014-02-28 17:00:00,2014-02-28 17:00:00,,0
16,1.3,analysis,22.375,22.15,22.6,2014-02-25 08:00:00,2014-03-19 17:00:00,,4500
6,1.3.1,analysis - business analysis,8.08333333333333,6.47,9.7,2014-02-25 08:00:00,2014-03-05 10:00:00,Employee A,4500
7,1.3.2,analysis validated,0.0,0.0,0.0,2014-03-19 17:00:00,2014-03-19 17:00:00,,0
17,1.4,development,28.375,28.09,28.66,2014-03-03 08:00:00,2014-03-31 17:00:00,,5100
8,1.4.1,development - coding,3.29166666666667,2.63,3.95,2014-03-03 08:00:00,2014-03-06 15:00:00,Employee D,2250
9,1.4.2,development - bugfixing and support,4.29166666666667,3.43,5.15,2014-03-17 08:00:00,2014-03-21 15:00:00,Employee D,2850
10,1.4.3,development completed,0.0,0.0,0.0,2014-03-31 17:00:00,2014-03-31 17:00:00,,0
18,1.5,implementation,49.0,48.51,49.49,2014-03-21 17:00:00,2014-05-09 17:00:00,,0
11,1.5.1,release handover,0.0,0.0,0.0,2014-03-21 17:00:00,2014-03-21 17:00:00,,0
12,1.5.2,code freeze,0.0,0.0,0.0,2014-04-25 17:00:00,2014-04-25 17:00:00,,0
13,1.5.3,go live,0.0,0.0,0.0,2014-05-09 17:00:00,2014-05-09 17:00:00,,0
