id,task_name,duration_days,duration_hours,g1_labor,total_cost
MFET-3008_A,Task A: Architectural decisions,4.0,32.0,1600.0,1600.0
MFET-3008_B,Task B: Hardware specifications,6.0,48.0,3900.0,3900.0
MFET-3008_C,Task C: Software specifications,7.0,56.0,3150.0,3150.0
MFET-3008_D,Task D: Conveyor design,8.0,64.0,2800.0,2800.0
MFET-3008_E,Task E: Hardware design,6.0,48.0,3300.0,3300.0
MFET-3008_F,Task F: Software design,12.0,96.0,4200.0,4200.0
MFET-3008_G,Task G: Operating system documentation,10.0,80.0,2300.0,2300.0
MFET-3008_H,Task H: Hardware detail drawings,8.0,64.0,3040.0,3040.0
MFET-3008_I,Task I: Software programming,16.0,128.0,4480.0,4480.0
MFET-3008_J,Task J: Software verification/testing,12.0,96.0,3960.0,3960.0
MFET-3008_K,Task K: Conveyor detailed drawings,7.0,56.0,2660.0,2660.0
MFET-3008_L,Task L: Drawing verification/Minor integration,9.0,72.0,3150.0,3150.0
MFET-3008_M,Task M: Prototype development,4.0,32.0,1200.0,1200.0
MFET-3008_N,Task N: Prototype installation,7.0,56.0,1400.0,1400.0
MFET-3008_O,Task O: Hardware order/delivery,7.0,56.0,1610.0,1610.0
MFET-3008_P,Task P: System Interface,5.0,40.0,1250.0,1250.0
MFET-3008_Q,Task Q: Hardware assembly,4.0,32.0,800.0,800.0
MFET-3008_R,Task R: Hardware/software Integration,5.0,40.0,2500.0,2500.0
MFET-3008_S,Task S: Hardware/software documentation,2.0,16.0,760.0,760.0
MFET-3008_T,Task T: System verification,3.0,24.0,1050.0,1050.0
MFET-3008_U,Task U: Acceptance test,2.0,16.0,400.0,400.0
