node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,PROJECT Production Line Change,669.375,669.375,669.375,2016-10-31 08:00:00,2018-08-31 17:00:00,,1512000
1,1.1,Design,406.375,402.31,410.44,2016-10-31 08:00:00,2017-12-11 17:00:00,,157000
26,1.2,Refueling Test P8X,28.375,28.375,28.375,2017-02-27 08:00:00,2017-03-27 17:00:00,,71000
2,1.2.1,Definition of 2D and 3D for prototypes for P8X,0.375,0.37,0.38,2017-02-27 08:00:00,2017-02-27 17:00:00,,15000
3,1.2.2,Prototype components assembly &amp; refueling test for P8X,28.375,28.09,28.66,2017-02-27 08:00:00,2017-03-27 17:00:00,,56000
27,1.3,Refueling Test P1UO,28.375,28.375,28.375,2017-07-06 08:00:00,2017-08-03 17:00:00,,60000
4,1.3.1,Definition of 2D and 3D for prototypes for P1UO,0.375,0.37,0.38,2017-07-06 08:00:00,2017-07-06 17:00:00,,15000
5,1.3.2,Prototype components assembly &amp; refueling test for P1UO,28.375,28.09,28.66,2017-07-06 08:00:00,2017-08-03 17:00:00,,45000
6,1.4,Produce Filler Pipe Blow molds P8x,210.375,208.27,212.48,2017-03-27 08:00:00,2017-10-23 17:00:00,,58000
7,1.5,Produce Filler Pipe Calibrations P8x,217.375,215.2,219.55,2017-03-27 08:00:00,2017-10-30 17:00:00,,22000
8,1.6,Produce Filler Pipe Blow mold P1UO,162.375,160.75,164.0,2017-08-03 08:00:00,2018-01-12 17:00:00,,55000
9,1.7,Produce Filler Pipe Calibration P1UO,169.375,167.68,171.07,2017-08-03 08:00:00,2018-01-19 17:00:00,,20000
10,1.8,Filler pipe Welding/assembly machine Liberec,388.375,384.49,392.26,2017-07-28 08:00:00,2018-08-20 17:00:00,,225000
11,1.9,Modification Welding lines Lokeren ‚6D,137.375,136.0,138.75,2017-10-23 08:00:00,2018-03-09 17:00:00,,8000
12,1.10,Modification ROV web assembly station Lokeren ‚6D (FETE 51),137.375,136.0,138.75,2017-10-23 08:00:00,2018-03-09 17:00:00,,35000
13,1.11,Mariage welder Rennes,214.375,212.23,216.52,2017-08-21 08:00:00,2018-03-23 17:00:00,,345000
14,1.12,Modification assembly line Rennes,211.375,209.26,213.49,2017-08-21 08:00:00,2018-03-20 17:00:00,,45000
15,1.13,Modification Leak Tester Rennes,176.375,174.61,178.14,2017-09-25 08:00:00,2018-03-20 17:00:00,,9000
16,1.14,Mariage welder Sochaux ‚6D,294.375,291.43,297.32,2017-09-25 08:00:00,2018-07-16 17:00:00,,89000
17,1.15,Modification assembly line Sochaux ‚6D,144.375,142.93,145.82,2017-09-25 08:00:00,2018-02-16 17:00:00,,50000
18,1.16,Modification Leak Tester Sochaux ‚6D,144.375,142.93,145.82,2017-09-25 08:00:00,2018-02-16 17:00:00,,30000
19,1.17,Modification Sequencer and conveyors Sochaux ‚6D,179.375,177.58,181.17,2017-11-20 08:00:00,2018-05-18 17:00:00,,40000
20,1.18,Production for VRS P8x,25.375,25.12,25.63,2017-11-06 08:00:00,2017-12-01 17:00:00,,25000
21,1.19,Production for VRS P1UO,88.375,87.49,89.26,2018-01-19 08:00:00,2018-04-17 17:00:00,,25000
22,1.20,Production for homologation P8x,28.375,28.09,28.66,2017-12-01 08:00:00,2017-12-29 17:00:00,,18000
23,1.21,"Finalization of all test runs, design systems and go life",11.375,11.26,11.49,2018-08-20 08:00:00,2018-08-31 17:00:00,,125000
