ID,name,type,max_availability,unit_cost,energy,overtime_multi,max_overtime_per_day
1,Skipper,Human,4.0,60.0,0.0,1.5,4.0
2,Welder,Human,8.0,60.0,0.0,1.5,4.0
3,Engineer,Human,18.0,160.0,0.0,1.5,4.0
4,Special team,Human,2.0,800.0,0.0,1.5,4.0
5,Disconnecting team,Human,1.0,800.0,0.0,1.5,4.0
6,Commissioning team,Human,1.0,800.0,0.0,1.5,4.0
7,Testing team,Human,1.0,800.0,0.0,1.5,4.0
8,Diving team,Human,1.0,900.0,0.0,1.5,4.0
9,Crane,Machine,3.0,200.0,50.0,1.0,16.0
10,Vessel Pompei,Machine,1.0,3320.0,830.0,1.0,16.0
11,Vessel Neptune,Machine,1.0,3750.0,937.5,1.0,16.0
12,Vessel Vagant,Machine,1.0,3180.0,795.0,1.0,16.0
13,Vessel Sternat Spirit,Machine,1.0,3250.0,812.5,1.0,16.0
14,Vessel Souverreign,Machine,1.0,3250.0,812.5,1.0,16.0
15,Vessel Rambiz,Machine,1.0,3620.0,905.0,1.0,16.0
16,Vessel Buzzard,Machine,1.0,3200.0,800.0,1.0,16.0
17,Vessel Breydel,Machine,2.0,3200.0,800.0,1.0,16.0
18,Vessel Breughel,Machine,1.0,3200.0,800.0,1.0,16.0
19,Vessel Pearl River,Machine,1.0,3250.0,812.5,1.0,16.0
20,Vessel Maersk,Machine,1.0,800.0,200.0,1.0,16.0
21,Vessel Innovator,Machine,1.0,3250.0,812.5,1.0,16.0
22,Pre-piling template,Machine,1.0,200.0,50.0,1.0,16.0
23,Towning tugs,Machine,2.0,450.0,112.5,1.0,16.0
24,Transport barges,Machine,2.0,400.0,100.0,1.0,16.0
25,Drilling machine,Machine,2.0,1200.0,300.0,1.0,16.0
26,Pulling machine,Machine,1.0,1300.0,325.0,1.0,16.0
27,Laborer,Human,60.0,40.0,0.0,1.5,4.0
