node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
nan,nan,Security,251.0,251.0,251.0,2022-07-04 08:00:00,nan,,
1.0,nan,Ontvangst van plattegronden (DWG & PDF),1.0,0.8,1.2,2022-07-04 08:00:00,nan,,
2.0,nan,"Sitebezoek (Klant, Consultant, Leverancier,...)",1.0,0.8,1.2,2022-07-04 08:00:00,nan,"Project Manager[1,00 #1]",
3.0,nan,Tweede verificatieanalyse van klantbehoeften,5.0,4.0,6.0,2022-07-04 08:00:00,nan,"Project Manager[1,00 #1]",
4.0,nan,Risicobeoordeling & de klant informeren over de aanbevolen maatregelen om problemen te voorkomen,10.0,8.0,12.0,2022-07-04 08:00:00,nan,"Project Manager[1,00 #1]",
5.0,nan,Planning van de algemene planning van de site,10.0,8.0,12.0,2022-07-04 08:00:00,nan,"Project Manager[1,00 #1]",
6.0,nan,Bestellingen voor apparatuur initiëren (niet op voorraad),10.0,8.0,12.0,2022-07-04 08:00:00,nan,"Project Manager[1,00 #1]",
7.0,nan,Een veiligheidsplan en levering van veiligheidsinformatieblad voor elk product aan de DS04 verstrekken,5.0,4.0,6.0,2022-07-11 08:00:00,nan,"Project Manager[1,00 #1]",
9.0,nan,"BCRZ-plaatsingsplanning, CCTV-rack en stroomvereisten",5.0,4.0,6.0,2022-07-18 08:00:00,nan,"Project Manager[1,00 #1]",
10.0,nan,"Indiening van plannen met locatievoorstel voor BCRZ, CCTV-rack en stroom- en gegevensvereisten",10.0,8.0,12.0,2022-07-18 08:00:00,nan,"Project Manager[1,00 #1]",
11.0,nan,Indiening van coringplannen voor analyse en instemming van de consultant,15.0,12.0,18.0,2022-07-18 08:00:00,nan,"Project Manager[1,00 #1]",
12.0,nan,Bedradingsschema,5.0,4.0,6.0,2022-07-25 08:00:00,nan,"Project Manager[1,00 #1]",
13.0,nan,Uitvoering en delen van het tijdschema voor de uitvoering van de werkzaamheden,10.0,8.0,12.0,2022-07-25 08:00:00,nan,"Project Manager[1,00 #1]",
14.0,nan,"Verzoek om officiële goedkeuring van het groene licht, de plannen en de wortelen voor de DS04 ",5.0,4.0,6.0,2022-07-25 08:00:00,nan,"Project Manager[1,00 #1]",
15.0,nan,Vraag een werkvergunning aan bij de EC SIPP Service voor de verschillende werken,5.0,4.0,6.0,2022-08-08 08:00:00,nan,"Project Manager[1,00 #1]",
16.0,nan,Implementatie en afstemming van de planning met de verschillende stakeholders,30.0,24.0,36.0,2022-07-25 08:00:00,nan,"Project Manager[1,00 #1]",
18.0,nan,Uitvoering van de start van bouwplaatsen en toezicht op de coördinatie van de werkzaamheden,1.0,0.8,1.2,2022-08-08 08:00:00,nan,"Project Manager[1,00 #1]",
19.0,nan,Boren van de kernen om de kabels te passeren,5.0,4.0,6.0,2022-08-08 08:00:00,nan,"technicien[2,00 #4]",
20.0,nan,Plaatsing van verschillende bedrading in het gebouw,30.0,24.0,36.0,2022-08-08 08:00:00,nan,"technicien[4,00 #4]",
21.0,nan,breng netwerkaansluitingen en 230V naar het BCRZ-terrein,20.0,16.0,24.0,2022-08-08 08:00:00,nan,"Project Manager[1,00 #1]",
22.0,nan,"Installeer BCRZ (BCRZ01, BCRZ02, BCRZ03), CCTV RACK",2.0,1.6,2.4,2022-08-22 08:00:00,nan,"technicien[2,00 #4]",
23.0,nan,Installeer de verschillende apparatuur in de kasten,10.0,8.0,12.0,2022-08-22 08:00:00,nan,"technicien[1,00 #1]",
24.0,nan,"Aansluiting van verschillende bekabeling, voedingen en data op kasten",70.0,56.0,84.0,2022-08-29 08:00:00,nan,"technicien[1,00 #1]",
26.0,nan,Vloeroppervlakte +1: PA11,2.0,1.6,2.4,2022-08-15 08:00:00,nan,"technicien[1,00 #1]",
27.0,nan,Oppervlakte verdieping 0: van PA01 - PA04; PS01 - PS04; P01-P02,10.0,8.0,12.0,2022-08-22 08:00:00,nan,"technicien[2,00 #4]",
28.0,nan,Vloeroppervlak -1: van PA05 - PA10; PS05,10.0,8.0,12.0,2022-09-19 08:00:00,nan,"technicien[1,00 #1]",
30.0,nan,Zone verdieping 0: van RD01 - RD07; CAM01 - CAM16; FE01-FE05,10.0,8.0,12.0,2022-10-03 08:00:00,nan,"technicien[2,00 #4]",
31.0,nan,one étage -1: van RD08 - RD10; CAM17 - CAM20,10.0,8.0,12.0,2022-10-03 08:00:00,nan,"technicien[2,00 #4]",
32.0,nan,Vloeroppervlakte +1: CAM21,10.0,8.0,12.0,2022-10-03 08:00:00,nan,"technicien[2,00 #4]",
33.0,nan,NAS- en cameraconfiguratie,1.0,0.8,1.2,2022-10-24 08:00:00,nan,"technicien[1,00 #1]",
35.0,nan,230V bedrading,15.0,12.0,18.0,2022-08-29 08:00:00,nan,"Project Manager[1,00 #1]",
36.0,nan,Installatie van TQ01 - Zone 0,15.0,12.0,18.0,2022-09-19 08:00:00,nan,,
37.0,nan,Installatie & configuration des LBM,10.0,8.0,12.0,2022-10-10 08:00:00,nan,"engineer[1,00 #1]",
38.0,nan,Het tourniquet testen,5.0,4.0,6.0,2022-10-24 08:00:00,nan,"engineer[2,00 #4]",
40.0,nan,230V bedrading,15.0,12.0,18.0,2022-10-17 08:00:00,nan,"Project Manager[1,00 #1]",
41.0,nan,Installatie van PAS01 - PAS06 - Zone 0,10.0,8.0,12.0,2022-11-07 08:00:00,nan,"technicien[4,00 #4]",
42.0,nan,PNG's configureren,20.0,16.0,24.0,2022-11-21 08:00:00,nan,"engineer[2,00 #4]",
43.0,nan,Installatie & configuration des LBM,5.0,4.0,6.0,2022-11-28 08:00:00,nan,"engineer[1,00 #1]",
44.0,nan,Het draaimolen testen,5.0,4.0,6.0,2022-12-12 08:00:00,nan,"engineer[2,00 #4]",
46.0,nan,Hardware installatie: ASC01 - ASC04 goederenlift,5.0,4.0,6.0,2022-11-21 08:00:00,nan,"technicien[1,00 #1]",
