node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,PM traditional house,179.375,177.58,181.17,2020-01-06 07:00:00,2020-07-03 16:00:00,,240840
1,1.1,Soil Research,1.375,0.69,2.06,2020-01-06 07:00:00,2020-01-07 16:00:00,,2120
2,1.2,Calculations,6.375,3.83,8.61,2020-01-08 07:00:00,2020-01-14 16:00:00,Calculator,2400
3,1.3,Building site preparation,1.375,1.03,2.06,2020-01-08 07:00:00,2020-01-09 16:00:00,Arbeider 2 vaste ploeg;Arbeider 1 vaste ploeg,3120
4,1.4,Drainage system,5.375,4.03,8.4,2020-01-08 07:00:00,2020-01-13 16:00:00,Arbeider 3 vaste ploeg;Arbeider 1 los,4840
5,1.5,Foundation & concrete plate,9.375,5.86,14.5,2020-01-15 07:00:00,2020-01-24 16:00:00,Arbeider 2 vaste ploeg;Arbeider 3 vaste ploeg;Arbeider 1 los;Arbeider 1 vaste ploeg,12460
6,1.6,Building groundfloor,17.375,12.41,18.62,2020-01-27 07:00:00,2020-02-13 16:00:00,Arbeider 2 vaste ploeg;Arbeider 3 vaste ploeg;Arbeider 1 los;Arbeider 2 los;Arbeider 1 vaste ploeg,27900
7,1.7,Scaffolding,3.375,1.69,5.06,2020-02-14 07:00:00,2020-02-17 16:00:00,Arbeider 2 vaste ploeg;Arbeider 3 vaste ploeg;Arbeider 1 vaste ploeg,2040
8,1.8,Building first floor,17.375,12.41,25.13,2020-02-18 07:00:00,2020-03-06 16:00:00,Arbeider 2 vaste ploeg;Arbeider 3 vaste ploeg;Arbeider 1 los;Arbeider 2 los;Arbeider 1 vaste ploeg,28800
9,1.9,Testing & choosing joint type,0.375,0.19,0.56,2020-02-14 07:00:00,2020-02-14 16:00:00,Arbeider 1 los;Arbeider 2 los,2860
10,1.1,Jointing,7.375,4.92,11.37,2020-03-20 07:00:00,2020-03-27 16:00:00,Arbeider 3 vaste ploeg;Arbeider 1 los,4360
11,1.11,Building roof framework,10.375,7.78,15.56,2020-03-09 07:00:00,2020-03-19 16:00:00,Arbeider 2 vaste ploeg;Arbeider 3 vaste ploeg;Arbeider 2 los;Arbeider 1 vaste ploeg,12580
12,1.12,Roof covering,9.375,7.47,13.77,2020-03-30 07:00:00,2020-04-08 16:00:00,Arbeider 2 vaste ploeg;Arbeider 3 vaste ploeg;Arbeider 1 los;Arbeider 2 los;Arbeider 1 vaste ploeg,29200
13,1.13,Placing windows,4.375,2.92,7.29,2020-04-09 07:00:00,2020-04-13 16:00:00,Arbeider 2 vaste ploeg;Arbeider 3 vaste ploeg;Arbeider 1 los;Arbeider 1 vaste ploeg,7360
14,1.14,Electricity,7.375,4.92,9.99,2020-04-14 07:00:00,2020-04-21 16:00:00,Arbeider 2 vaste ploeg;Arbeider 1 vaste ploeg,3720
15,1.15,Sanitary,4.375,3.5,5.91,2020-04-20 07:00:00,2020-04-24 16:00:00,Arbeider 3 vaste ploeg;Arbeider 1 los,9000
16,1.16,Underfloor heating system,3.375,1.69,5.27,2020-04-14 07:00:00,2020-04-17 16:00:00,Arbeider 2 los;Arbeider 3 vaste ploeg,5340
17,1.17,Laying floor screed,4.375,2.62,6.89,2020-04-27 07:00:00,2020-05-01 16:00:00,Arbeider 2 vaste ploeg;Arbeider 3 vaste ploeg;Arbeider 1 vaste ploeg,7900
18,1.18,Configuration heating system,7.375,4.92,9.37,2020-05-04 07:00:00,2020-05-11 16:00:00,Arbeider 2 vaste ploeg;Arbeider 1 vaste ploeg,3410
19,1.19,Plastering,17.375,14.58,22.34,2020-05-04 07:00:00,2020-05-21 16:00:00,Arbeider 3 vaste ploeg;Arbeider 1 los,8050
20,1.2,Floor tiling,12.375,8.25,18.22,2020-05-22 07:00:00,2020-06-03 16:00:00,Arbeider 2 vaste ploeg;Arbeider 3 vaste ploeg;Arbeider 2 los;Arbeider 1 vaste ploeg,12040
21,1.21,Carpenting,5.375,4.03,8.06,2020-06-04 07:00:00,2020-06-09 16:00:00,Arbeider 2 vaste ploeg;Arbeider 1 vaste ploeg,2240
22,1.22,Painting,14.375,10.62,21.07,2020-06-10 07:00:00,2020-06-24 16:00:00,Arbeider 1 vaste ploeg;Arbeider 2 vaste ploeg;Arbeider 3 vaste ploeg,9240
23,1.23,Installation kitchen,5.375,2.69,8.23,2020-06-25 07:00:00,2020-06-30 16:00:00,Arbeider 2 vaste ploeg;Arbeider 3 vaste ploeg;Arbeider 1 vaste ploeg,25160
24,1.24,Installation bathroom,6.375,3.83,9.72,2020-06-25 07:00:00,2020-07-01 16:00:00,Arbeider 1 los;Arbeider 2 los,11900
25,1.25,Cleaning up,1.375,0.69,2.06,2020-07-02 07:00:00,2020-07-03 16:00:00,Arbeider 2 vaste ploeg;Arbeider 3 vaste ploeg;Arbeider 1 los;Arbeider 2 los;Arbeider 1 vaste ploeg,2800
