node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Nut Mixing Station,29.375,29.08,29.67,2010-02-25 08:00:00,2010-03-26 17:00:00,,1056501
5,1.1,Constructie gebouw,29.25,28.96,29.54,2010-02-25 08:00:00,2010-03-26 14:00:00,,523934
6,1.1.1,Herassen + vergaderkeet,1.0,0.8,1.2,2010-03-23 16:00:00,2010-03-24 16:00:00,Vergaderkeet;Herassen[50.00 #100],2500
7,1.1.2,Grondwerk,17.0,16.83,17.17,2010-03-09 09:00:00,2010-03-26 09:00:00,,45000
8,1.1.2.1,Uitgraven + concassé  + dichten gracht,3.0,2.4,3.6,2010-03-09 09:00:00,2010-03-12 09:00:00,Graafkraan + bestuurder;Vrachtwagen;Arbeider,10000
9,1.1.2.2,Palen,4.0,3.2,4.8,2010-03-12 09:00:00,2010-03-16 09:00:00,Paalboorinstallatie + bestuurder;Arbeider[2.00 #20],12000
10,1.1.2.3,Delven paalkoppen + sleuven + riolering + zuivering,2.0,1.6,2.4,2010-03-16 09:00:00,2010-03-18 09:00:00,Graafkraan + bestuurder;Arbeider[3.00 #20],8020
11,1.1.2.4,Staking,1.0,0.8,1.2,2010-03-18 09:00:00,2010-03-19 09:00:00,,0
12,1.1.2.5,Paalkoppen ALHB,7.0,5.6,8.4,2010-03-19 09:00:00,2010-03-26 09:00:00,Pneumatische drilhamer;Arbeider[4.00 #20],13000
13,1.1.2.6,aansluiten in bestaande put,1.375,1.1,1.65,2010-03-23 08:00:00,2010-03-24 17:00:00,Arbeider[2.00 #20],1980
14,1.1.3,Montage,28.2916666666667,28.01,28.57,2010-02-25 08:00:00,2010-03-25 15:00:00,,100000
15,1.1.3.1,Montage (kraan binnen bij as 4),4.375,3.5,5.25,2010-02-25 08:00:00,2010-03-01 17:00:00,Montagekraan + bestuurder;Arbeider[3.00 #20];Hoogtewerker[2.00 #12],32000
16,1.1.3.2,Montage (kraan binnen bij as 1),3.375,2.7,4.05,2010-03-02 08:00:00,2010-03-05 17:00:00,Montagekraan + bestuurder;Arbeider[3.00 #20];Hoogtewerker[2.00 #12],40000
17,1.1.3.3,Montage (kraan buiten),3.0,2.4,3.6,2010-03-22 15:00:00,2010-03-25 15:00:00,Montagekraan + bestuurder;Arbeider[3.00 #20];Hoogtewerker[2.00 #12],28000
18,1.1.4,Vloeren,18.25,18.07,18.43,2010-03-08 08:00:00,2010-03-26 14:00:00,,55000
19,1.1.4.1,Druklaag (klaarleggen + gieten),2.0,1.6,2.4,2010-03-15 09:00:00,2010-03-17 09:00:00,Arbeider[2.00 #20];Betonpomp + bediener;Vlindertoestel,5000
20,1.1.4.2,Ondervloer goot gieten,1.0,0.8,1.2,2010-03-23 14:00:00,2010-03-24 14:00:00,Arbeider[2.00 #20],1500
21,1.1.4.3,Borduren zetten,1.0,0.8,1.2,2010-03-24 14:00:00,2010-03-25 14:00:00,Verreiker + bestuurder;Arbeider,3550
22,1.1.4.4,Nivelleren binnen,0.375,0.3,0.45,2010-03-08 08:00:00,2010-03-08 17:00:00,Graafkraan + bestuurder;Arbeider,2000
23,1.1.4.5,Wapening,0.375,0.3,0.45,2010-03-09 08:00:00,2010-03-09 17:00:00,Arbeider[4.00 #20],15000
24,1.1.4.6,Vloeren binnen en buiten,0.375,0.3,0.45,2010-03-10 08:00:00,2010-03-10 17:00:00,Betonpomp + bediener;Arbeider[4.00 #20];Vlindertoestel[2.00 #2],18520
25,1.1.4.7,Plintjes boven,1.0,0.8,1.2,2010-03-25 09:00:00,2010-03-26 09:00:00,Arbeider[2.00 #20],990
26,1.1.4.8,Metsen muur,3.0,2.4,3.6,2010-03-23 10:00:00,2010-03-26 10:00:00,Arbeider;Metser,2980
27,1.1.4.9,Plaatsen rijplaten,0.375,0.3,0.45,2010-03-17 08:00:00,2010-03-17 17:00:00,Verreiker + bestuurder;Arbeider[2.00 #20],1990
28,1.1.4.10,Plintjes zetten beneden,2.0,1.6,2.4,2010-03-24 14:00:00,2010-03-26 14:00:00,Arbeider[2.00 #20],1630
29,1.1.4.11,Verwijderen rijplaten,0.375,0.3,0.45,2010-03-23 08:00:00,2010-03-23 17:00:00,Verreiker + bestuurder;Arbeider[2.00 #20],1840
30,1.1.5,Dak,10.0,9.9,10.1,2010-03-15 14:00:00,2010-03-25 14:00:00,,24000
31,1.1.5.1,Plaatsen opstanden voor koepels,2.0,1.6,2.4,2010-03-15 14:00:00,2010-03-17 14:00:00,Arbeider[2.00 #20],2500
32,1.1.5.2,Dakwerken (onderlaag),2.0,1.6,2.4,2010-03-17 14:00:00,2010-03-19 14:00:00,Dakwerkers[3.00 #3],10000
33,1.1.5.3,Dakwerken (afwerking),5.0,4.0,6.0,2010-03-19 14:00:00,2010-03-24 14:00:00,Dakwerkers[3.00 #3],8500
34,1.1.5.4,Levenslijn,1.0,0.8,1.2,2010-03-24 14:00:00,2010-03-25 14:00:00,Veiligheidsinstallateur,3000
35,1.1.6,Staalstructuur,14.125,13.98,14.27,2010-03-12 09:00:00,2010-03-26 12:00:00,,95000
36,1.1.6.1,Plaatsen railing rond verdiep,3.0,2.4,3.6,2010-03-12 09:00:00,2010-03-15 09:00:00,Staalmonteur[2.00 #4],5000
37,1.1.6.2,Plaatsen RACK,4.0,3.2,4.8,2010-03-18 15:00:00,2010-03-22 15:00:00,Staalmonteur[4.00 #4];Hoogtewerker[2.00 #12];Montagekraan + bestuurder,25000
38,1.1.6.3,Plaatsen kolommen en liggers,2.0,1.6,2.4,2010-03-22 15:00:00,2010-03-24 15:00:00,Verreiker + bestuurder;Staalmonteur[2.00 #4];Hoogtewerker[2.00 #12],20000
39,1.1.6.4,Plaatsen zwenkarm,1.0,0.8,1.2,2010-03-24 15:00:00,2010-03-25 15:00:00,Verreiker + bestuurder;Hoogtewerker;Staalmonteur[2.00 #4],15000
40,1.1.6.5,"Montage wandelbrug, poort, trap",1.95833333333333,1.57,2.35,2010-03-24 13:00:00,2010-03-26 12:00:00,Verreiker + bestuurder;Hoogtewerker;Staalmonteur[2.00 #4],30000
41,1.1.7,Technische voorzieningen,7.83333333333333,7.75,7.91,2010-03-18 16:00:00,2010-03-26 12:00:00,,140834
42,1.1.7.1,Elektriciteit + verlichting,7.0,5.6,8.4,2010-03-18 16:00:00,2010-03-25 16:00:00,Elektricien[3.00 #3];Hoogtewerker,36000
43,1.1.7.2,Leidingen,1.95833333333333,1.57,2.35,2010-03-24 13:00:00,2010-03-26 12:00:00,Hoogtewerker;Loodgieter[3.00 #5],68278
44,1.1.7.3,Perslucht,1.95833333333333,1.57,2.35,2010-03-24 13:00:00,2010-03-26 12:00:00,Loodgieter[2.00 #5];Hoogtewerker,36556
45,1.1.8,Plaatsing wegneembare wand,0.375,0.37,0.38,2010-03-24 08:00:00,2010-03-24 17:00:00,,27500
46,1.1.8.1,Plaatsen isolatiepanelen,0.375,0.3,0.45,2010-03-24 08:00:00,2010-03-24 17:00:00,Verreiker + bestuurder;Hoogtewerker;Arbeider[2.00 #20],27500
47,1.1.9,Afwerking,8.0,7.92,8.08,2010-03-17 11:00:00,2010-03-25 11:00:00,,34100
48,1.1.9.1,Inrichting verstiaire,5.0,4.0,6.0,2010-03-17 11:00:00,2010-03-22 11:00:00,Stukadoor;Schilder;Arbeider[2.00 #20],6350
49,1.1.9.2,Epoxy deklaag,3.0,2.4,3.6,2010-03-22 11:00:00,2010-03-25 11:00:00,Arbeider[4.00 #20],27750
50,1.2,Nut mixing station,8.375,8.29,8.46,2010-03-18 08:00:00,2010-03-26 17:00:00,,532567
51,1.2.1,Plaatsen tanks,0.375,0.3,0.45,2010-03-18 08:00:00,2010-03-18 17:00:00,Arbeider[3.00 #20];Verreiker + bestuurder;Paalboorinstallatie + bestuurder,197480
52,1.2.2,Plaatsen leidingen,4.375,3.5,5.25,2010-03-19 08:00:00,2010-03-23 17:00:00,Verreiker + bestuurder;Techniekers Nut Mixing Station[3.00 #9];Hoogtewerker[2.00 #12],100000
53,1.2.3,Weegsysteem,0.958333333333333,0.77,1.15,2010-03-25 13:00:00,2010-03-26 12:00:00,Verreiker + bestuurder;Techniekers Nut Mixing Station[3.00 #9],16000
