node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Festivalcorrect,368.4166666667006,364.73,372.1,2018-07-02 08:00:00,2019-07-05 18:00:00,,1287700
1,1.1,Evacuation planning,4.416666666700621,2.16,13.05,2018-07-02 08:00:00,2018-07-06 18:00:00,,2500
2,1.2,asking for funding+permits,53.41666666670062,42.73,64.1,2018-07-09 08:00:00,2018-08-31 18:00:00,,10000
3,1.3,advertising (online),164.41666666670062,162.77,166.06,2019-01-21 08:00:00,2019-07-04 18:00:00,,15000
4,1.4,ordering material sound + light + stands,53.41666666670062,42.73,64.1,2019-01-21 08:00:00,2019-03-15 18:00:00,,500000
5,1.5,ordering bracelets ( x amount) and install system,18.41666666670062,18.23,18.6,2019-03-18 08:00:00,2019-04-05 18:00:00,,30000
6,1.6,ordering cups for recycling,18.41666666670062,18.23,18.6,2019-03-18 08:00:00,2019-04-05 18:00:00,,15000
7,1.7,ordering food + drinks,38.41666666670062,38.03,38.8,2019-03-18 08:00:00,2019-04-25 18:00:00,,200000
8,1.8,hiring artists,137.41666666670062,109.93,164.9,2018-09-03 08:00:00,2019-01-18 18:00:00,,250000
9,1.9,public transport,25.41666666670062,20.33,30.5,2018-09-03 08:00:00,2018-09-28 18:00:00,,20000
10,1.1,leveling plane field,6.416666666700621,5.13,35.93,2019-04-26 08:00:00,2019-05-02 18:00:00,,10000
11,1.11,fencing ( festival area + camping area + parking area) + place root cloths,6.416666666700621,5.13,35.93,2019-05-03 08:00:00,2019-05-09 18:00:00,,8000
12,1.12,"wooden planks + planks of steel ( festival -, camping -, parking area)",4.416666666700621,3.6,12.43,2019-05-03 08:00:00,2019-05-07 18:00:00,,5000
13,1.13,electricity ( festival are + camping area),9.416666666700621,7.53,11.3,2019-05-08 08:00:00,2019-05-17 18:00:00,,55000
14,1.14,building main stage,11.416666666700621,9.13,13.7,2019-05-20 08:00:00,2019-05-31 18:00:00,,27000
15,1.15,building 2 small stages,9.416666666700621,7.53,11.3,2019-05-20 08:00:00,2019-05-29 18:00:00,,21600
16,1.16,crowd dividing space,1.4166666667006211,1.13,1.7,2019-06-03 08:00:00,2019-06-04 18:00:00,,2000
17,1.17,placing toilets ( festival + camping),2.416666666700621,1.93,2.9,2019-06-11 08:00:00,2019-06-13 18:00:00,,4050
18,1.18,placing stands: food+ drink+ reloading points bracelet (festival area + camping area),5.416666666700621,4.33,6.5,2019-06-05 08:00:00,2019-06-10 18:00:00,,7200
19,1.19,placing enterance,3.0,2.4,3.6,2019-06-11 11:00:00,2019-06-14 11:00:00,,8100
20,1.2,building backstage ( main stage + 2 small stages),6.416666666700621,5.13,7.7,2019-05-30 08:00:00,2019-06-05 18:00:00,,9000
21,1.21,deliver dishwasher cups ( festival area + camping area),1.4166666667006211,1.13,1.7,2019-06-11 08:00:00,2019-06-12 18:00:00,,10000
22,1.22,build sponsor area,4.416666666700621,4.37,4.46,2019-06-06 08:00:00,2019-06-10 18:00:00,,4050
23,1.23,electricity + cabling ( 3 stages),6.416666666700621,5.13,7.7,2019-06-14 08:00:00,2019-06-20 18:00:00,,13500
24,1.24,music + boxes ( 3 stages),6.416666666700621,5.13,7.7,2019-06-21 08:00:00,2019-06-27 18:00:00,,13500
25,1.25,screens + lights ( festival area + camping area),6.416666666700621,5.13,7.7,2019-06-21 08:00:00,2019-06-27 18:00:00,,13500
26,1.26,fireman + emergency routes + security inspeciton,4.416666666700621,3.6,21.76,2019-06-28 08:00:00,2019-07-02 18:00:00,,7500
27,1.27,lights + sound check,1.4166666667006211,1.13,1.7,2019-07-03 08:00:00,2019-07-04 18:00:00,,5400
28,1.28,checking bracelets ( festival area + camping area),1.4166666667006211,1.13,1.7,2019-07-03 08:00:00,2019-07-04 18:00:00,,5400
29,1.29,checking foods and drink supplies,1.4166666667006211,1.13,1.7,2019-07-03 08:00:00,2019-07-04 18:00:00,,5400
30,1.3,extreme precaution for weather,0.41666666670062114,1.02,6.16,2019-07-05 08:00:00,2019-07-05 18:00:00,,10000
