node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Project,253.125,202.5,303.75,2017-01-02 08:00:00,2017-09-12 11:00:00,,91100
1,1.1,Organization construction site,0.375,0.3,0.45,2017-01-02 08:00:00,2017-01-02 17:00:00,,0
2,1.2,Excavation,6.166666666700621,4.93,7.4,2017-01-03 08:00:00,2017-01-09 12:00:00,,0
3,1.3,Fundation,2.958333333299379,2.37,3.55,2017-01-17 13:00:00,2017-01-20 12:00:00,,1200
4,1.4,Floor basement,1.9583333332993789,1.57,2.35,2017-01-25 13:00:00,2017-01-27 12:00:00,,800
5,1.5,masonry basement,5.958333333299379,4.77,7.15,2017-01-27 13:00:00,2017-02-02 12:00:00,,1500
6,1.6,Sewage,1.125,0.9,1.35,2017-02-02 13:00:00,2017-02-03 16:00:00,,500
7,1.7,Pier and beam/joist basement,3.7916666665987577,3.03,4.55,2017-02-03 16:00:00,2017-02-07 11:00:00,,1500
8,1.8,Masonry ground level + first level,38.0,30.4,45.6,2017-02-07 11:00:00,2017-03-17 11:00:00,,14000
9,1.9,Sills,3.125,2.5,3.75,2017-03-17 11:00:00,2017-03-20 14:00:00,,700
10,1.1,Roof construction,18.0,14.4,21.6,2017-03-17 11:00:00,2017-04-04 11:00:00,,8000
11,1.11,Gutter instalment,2.0,1.6,2.4,2017-04-04 11:00:00,2017-04-06 11:00:00,,1000
12,1.12,Inner joinery,4.0,3.2,4.8,2017-04-07 11:00:00,2017-04-11 11:00:00,,1500
13,1.13,Ventilation provisions,2.0,1.6,2.4,2017-04-04 11:00:00,2017-04-06 11:00:00,,4000
14,1.14,plumbing,3.0,2.4,3.6,2017-04-04 11:00:00,2017-04-07 11:00:00,,800
15,1.15,electricity,3.0,2.4,3.6,2017-04-11 11:00:00,2017-04-14 11:00:00,,500
16,1.16,Outer doors and windows,3.0,2.4,3.6,2017-04-04 11:00:00,2017-04-07 11:00:00,,10000
17,1.17,Inner window sills,3.0,2.4,3.6,2017-04-07 11:00:00,2017-04-10 11:00:00,,800
18,1.18,Plastering,19.0,15.2,22.8,2017-04-14 11:00:00,2017-05-03 11:00:00,,1500
19,1.19,Floor insulation,1.0,0.8,1.2,2017-05-03 11:00:00,2017-05-04 11:00:00,,2500
20,1.2,Screed,5.208333333401242,4.17,6.25,2017-05-04 11:00:00,2017-05-09 16:00:00,,1600
21,1.21,Tiling floor (basement + ground level),9.0,7.2,10.8,2017-06-07 16:00:00,2017-06-16 16:00:00,,6500
22,1.22,Llaminated floor (First level),2.7916666665987577,2.23,3.35,2017-09-04 16:00:00,2017-09-07 11:00:00,,3200
23,1.23,Wooden staircase placement,4.0,3.2,4.8,2017-06-16 16:00:00,2017-06-20 16:00:00,,2000
24,1.24,"Central heating, Sanitary",3.0,2.4,3.6,2017-05-09 16:00:00,2017-05-12 16:00:00,,6500
25,1.25,Finish electricity,3.0,2.4,3.6,2017-05-09 16:00:00,2017-05-12 16:00:00,,3500
26,1.26,Pointing the wall,6.0,4.8,7.2,2017-05-16 11:00:00,2017-05-22 11:00:00,,500
27,1.27,Inner doors,5.0,4.0,6.0,2017-09-07 11:00:00,2017-09-12 11:00:00,,2500
28,1.28,Bathroom installment,1.0,0.8,1.2,2017-09-07 11:00:00,2017-09-08 11:00:00,,2000
29,1.29,Kitchen installment,4.0,3.2,4.8,2017-09-07 11:00:00,2017-09-11 11:00:00,,12000
30,1.3,end,0.0,0.0,0.0,2017-09-12 11:00:00,2017-09-12 11:00:00,,0
