node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Wine Production,129.375,128.08,130.67,2020-08-10 08:00:00,2020-12-17 17:00:00,,0
1,1.1,Test yeast 1,10.375,9.94,12.97,2020-08-10 08:00:00,2020-08-20 17:00:00,,0
2,1.2,Test yeast 2,10.375,10.09,12.97,2020-08-10 08:00:00,2020-08-20 17:00:00,,0
3,1.3,Analysis and decision,6.375,2.55,9.88,2020-08-21 08:00:00,2020-08-27 17:00:00,,0
4,1.4,Pilot plant preparation,7.375,4.92,12.29,2020-08-28 08:00:00,2020-09-04 17:00:00,,0
5,1.5,Get Grape,2.375,0.79,5.84,2020-09-02 08:00:00,2020-09-04 17:00:00,,0
6,1.6,Pressing grape,2.375,1.58,2.38,2020-09-07 08:00:00,2020-09-09 17:00:00,,0
7,1.7,Fermentation with stems,13.375,10.87,15.38,2020-09-10 08:00:00,2020-09-23 17:00:00,,0
8,1.8,Fermentation without stems,13.375,10.87,15.38,2020-09-10 08:00:00,2020-09-23 17:00:00,,0
9,1.9,Filtration with stems,1.375,0.69,1.38,2020-09-24 08:00:00,2020-09-25 17:00:00,,0
10,1.1,Filtration without stems,1.375,0.69,1.38,2020-09-24 08:00:00,2020-09-25 17:00:00,,0
11,1.11,Aging with stems,60.375,56.18,63.73,2020-09-28 08:00:00,2020-11-27 17:00:00,,0
12,1.12,Aging without stems,60.375,56.01,63.23,2020-09-28 08:00:00,2020-11-27 17:00:00,,0
13,1.13,Evaluation - decision wine,4.375,2.62,5.91,2020-11-30 08:00:00,2020-12-04 17:00:00,,0
14,1.14,Market research for promotion,32.375,25.9,38.85,2020-08-10 08:00:00,2020-09-11 17:00:00,,0
15,1.15,Design label,11.375,8.1,13.37,2020-09-14 08:00:00,2020-09-25 17:00:00,,0
16,1.16,Design promotion material,23.375,19.48,25.97,2020-09-14 08:00:00,2020-10-07 17:00:00,,0
17,1.17,Print label,11.375,9.24,13.08,2020-09-28 08:00:00,2020-10-09 17:00:00,,0
18,1.18,Bottle supply,2.375,0.79,3.17,2020-11-23 08:00:00,2020-11-25 17:00:00,,0
19,1.19,Washing bottles,2.375,1.58,2.38,2020-12-02 08:00:00,2020-12-04 17:00:00,,0
20,1.2,Bottling,2.375,1.19,2.38,2020-12-07 08:00:00,2020-12-09 17:00:00,,0
21,1.21,Stick label on bottles,1.375,0.69,1.38,2020-12-10 08:00:00,2020-12-11 17:00:00,,0
22,1.22,Creation of promotional material,21.375,18.7,26.72,2020-10-08 08:00:00,2020-10-29 17:00:00,,0
23,1.23,Look for promoters,20.375,13.58,23.43,2020-10-30 08:00:00,2020-11-19 17:00:00,,0
24,1.24,Transportation material to event,2.375,1.58,3.17,2020-12-14 08:00:00,2020-12-16 17:00:00,,0
25,1.25,Control of the stand: End check-up,0.375,0.33,0.42,2020-12-17 08:00:00,2020-12-17 17:00:00,,0
