node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,nan,Gas Pipeline Project,58.0,58.0,58.0,Mon 22/08/16,Fri 4/11/16,,
1,nan,  Excavation,23.0,23.0,23.0,Mon 22/08/16,Fri 23/09/16,,
2,nan,      Asphalt digging,9.0,9.0,9.0,Mon 22/08/16,Thu 1/09/16,worker[5],
3,nan,      digging canals,18.0,18.0,18.0,Wed 31/08/16,Fri 23/09/16,worker[3];professional worker[3],
4,nan,  Piping,17.0,17.0,17.0,Fri 23/09/16,Thu 13/10/16,,
5,nan,    Laying piplines,10.0,10.0,10.0,Fri 23/09/16,Tue 4/10/16,,
6,nan,       Sanding,4.0,4.0,4.0,Fri 23/09/16,Wed 28/09/16,worker[3],
7,nan,       Floor level,5.0,5.0,5.0,Fri 23/09/16,Tue 4/10/16,worker[3];engineer,
8,nan,       Laying the pipes,5.0,5.0,5.0,Sun 25/09/16,Tue 4/10/16,worker[3],
9,nan,    Welding,12.0,12.0,12.0,Wed 28/09/16,Thu 13/10/16,,
10,nan,       Cleaning connections,5.0,5.0,5.0,Wed 28/09/16,Fri 7/10/16,professional worker[5],
11,nan,       Welding connections,10.0,10.0,10.0,Wed 28/09/16,Thu 13/10/16,professional worker[4],
12,nan,    Tube testing,7.0,7.0,7.0,Thu 29/09/16,Sat 8/10/16,,
13,nan,       Connect the device,3.0,3.0,3.0,Thu 29/09/16,Mon 3/10/16,,
14,nan,       Test,4.0,4.0,4.0,Mon 3/10/16,Sat 8/10/16,engineer,
15,nan,  Leveling,26.0,26.0,26.0,Mon 3/10/16,Fri 4/11/16,,
16,nan,        Excavation,2.0,2.0,2.0,Sun 9/10/16,Mon 10/10/16,worker[3],
17,nan,    Asphalt Work,26.0,26.0,26.0,Mon 3/10/16,Fri 4/11/16,,
18,nan,        Infrastructure,10.0,10.0,10.0,Mon 3/10/16,Mon 17/10/16,engineer[2],
19,nan,        Asphalt,14.0,14.0,14.0,Mon 17/10/16,Fri 4/11/16,engineer; professional worker[4],
20,nan,        Roller,3.0,3.0,3.0,Tue 18/10/16,Sat 22/10/16,,
