node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,FACTA System,80.375,79.57,81.18,2014-02-21 08:00:00,2014-05-12 17:00:00,,11700
21,1.1,supporting tasks,3.08333333333333,3.05,3.11,2014-02-21 08:00:00,2014-02-24 10:00:00,,900
1,1.1.1,project management,3.08333333333333,2.47,3.7,2014-02-21 08:00:00,2014-02-24 10:00:00,Employee A,900
22,1.2,analysis,0.375,0.37,0.38,2014-02-28 08:00:00,2014-02-28 17:00:00,,75
2,1.2.1,analysis - conceptual design,0.0416666666666667,0.03,0.05,2014-02-28 08:00:00,2014-02-28 09:00:00,Employee D,75
3,1.2.2,analysis validated,0.0,0.0,0.0,2014-02-28 17:00:00,2014-02-28 17:00:00,,0
23,1.3,design,4.375,4.33,4.42,2014-03-03 08:00:00,2014-03-07 17:00:00,,300
4,1.3.1,design - technical design,0.166666666666667,0.13,0.2,2014-03-03 08:00:00,2014-03-03 12:00:00,Employee E,300
5,1.3.2,design validated,0.0,0.0,0.0,2014-03-07 17:00:00,2014-03-07 17:00:00,,0
24,1.4,development,21.375,21.16,21.59,2014-03-03 08:00:00,2014-03-24 17:00:00,,2250
6,1.4.1,development - coding,0.166666666666667,0.13,0.2,2014-03-03 08:00:00,2014-03-03 12:00:00,Employee F,300
7,1.4.2,development - coding,1.29166666666667,1.03,1.55,2014-03-03 08:00:00,2014-03-04 15:00:00,Employee G,1050
8,1.4.3,development - coding,1.16666666666667,0.93,1.4,2014-03-03 08:00:00,2014-03-04 12:00:00,Employee H,900
10,1.4.4,development completed,0.0,0.0,0.0,2014-03-24 17:00:00,2014-03-24 17:00:00,,0
25,1.5,ict test,24.375,24.13,24.62,2014-02-28 08:00:00,2014-03-24 17:00:00,,3525
11,1.5.1,test ict - test preparation,6.08333333333333,4.87,7.3,2014-02-28 08:00:00,2014-03-06 10:00:00,Employee K,2550
12,1.5.2,test ict - test coordination,1.125,0.9,1.35,2014-03-03 08:00:00,2014-03-04 11:00:00,Employee B,825
13,1.5.3,test ict - test execution,0.0833333333333333,0.07,0.1,2014-03-24 08:00:00,2014-03-24 10:00:00,Employee K,150
14,1.5.4,ict test completed,0.0,0.0,0.0,2014-03-24 17:00:00,2014-03-24 17:00:00,,0
26,1.6,implementation,39.375,38.98,39.77,2014-03-31 08:00:00,2014-05-09 17:00:00,,3450
15,1.6.1,uat - test support,4.29166666666667,3.43,5.15,2014-03-31 08:00:00,2014-04-04 15:00:00,Employee K,2850
16,1.6.2,uat completed,0.0,0.0,0.0,2014-04-25 17:00:00,2014-04-25 17:00:00,,0
17,1.6.3,implementation - put in production,0.375,0.3,0.45,2014-03-31 08:00:00,2014-03-31 17:00:00,Employee L,600
18,1.6.4,go live,0.0,0.0,0.0,2014-05-09 17:00:00,2014-05-09 17:00:00,,0
27,1.7,post implementation,0.375,0.37,0.38,2014-05-12 08:00:00,2014-05-12 17:00:00,,1200
19,1.7.1,post implementation - post go live support,0.375,0.3,0.45,2014-05-12 08:00:00,2014-05-12 17:00:00,Employee B,600
20,1.7.2,post implementation - post go live support,0.375,0.3,0.45,2014-05-12 08:00:00,2014-05-12 17:00:00,Employee K,600
