node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,PM,119.375,118.18,120.57,2016-11-14 08:00:00,2017-03-13 17:00:00,,0
1,1.1,Demolition,14.375,11.47,17.28,2016-11-14 08:00:00,2016-11-28 17:00:00,,0
2,1.2,Ground works,14.375,11.5,17.25,2016-11-14 08:00:00,2016-11-28 17:00:00,,0
3,1.3,Shallow foundations,11.375,9.1,13.65,2016-11-29 08:00:00,2016-12-10 17:00:00,,0
4,1.4,Brickwork,11.375,9.1,13.65,2016-11-29 08:00:00,2016-12-10 17:00:00,,0
5,1.5,"Sills, plinths and coping",11.375,9.1,13.65,2016-11-29 08:00:00,2016-12-10 17:00:00,,0
6,1.6,Structural elements concrete,11.375,9.1,13.65,2016-11-29 08:00:00,2016-12-10 17:00:00,,0
7,1.7,Courtyard finishing,11.375,9.1,13.65,2016-12-12 08:00:00,2016-12-23 17:00:00,,0
8,1.8,Screed and company floor,11.375,9.1,13.65,2016-12-12 08:00:00,2016-12-23 17:00:00,,0
9,1.9,Indoor floor finishing,17.375,13.9,20.85,2016-12-24 08:00:00,2017-01-10 17:00:00,,0
10,1.1,Plaster work indoors,14.375,11.5,17.25,2016-12-24 08:00:00,2017-01-07 17:00:00,,0
11,1.11,Wooden strucural elements,16.375,13.1,19.65,2017-01-11 08:00:00,2017-01-27 17:00:00,,0
12,1.12,Indoor doors and windows,9.375,7.5,11.25,2017-01-09 08:00:00,2017-01-18 17:00:00,,0
13,1.13,Exterior joinery,16.375,13.1,19.65,2017-01-28 08:00:00,2017-02-13 17:00:00,,0
19,1.14,Siding,18.375,14.7,22.05,2017-01-28 08:00:00,2017-02-15 17:00:00,,0
15,1.15,Structural elements steel,12.375,9.9,14.85,2017-02-16 08:00:00,2017-02-28 17:00:00,,0
16,1.16,Outdoor stairs and parapets,15.375,12.3,18.45,2017-02-16 08:00:00,2017-03-03 17:00:00,,0
17,1.17,Window sill coating and wallcover,8.375,6.7,10.05,2017-02-16 08:00:00,2017-02-24 17:00:00,,0
18,1.18,Indoor paintwork,12.375,12.25,12.5,2017-03-01 08:00:00,2017-03-13 17:00:00,,0
