node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Project,31.125,30.81,31.44,2019-12-09 09:00:00,2020-01-09 12:00:00,,126955.300048828
1,1.1,Start,1.6666666667006211,1.33,2.0,2019-12-09 09:00:00,2019-12-07 17:00:00,,0.0
2,1.2,Mowing and cleaning up cuttings,0.125,0.1,0.15,2019-12-09 09:00:00,2019-12-09 12:00:00,Volunteers[3.00 #15],967.5
3,1.3,Drilling holes,4.958333333299379,3.97,5.95,2019-12-09 13:00:00,2019-12-14 12:00:00,Volunteers[6.00 #15],1790.5
4,1.4,Placing poles,3.083333333299379,2.47,3.7,2019-12-14 13:00:00,2019-12-17 15:00:00,Volunteers[10.00 #15],9459.0
5,1.5,Attaching ropes and nets to poles,11.083333333299379,8.87,13.3,2019-12-17 15:00:00,2019-12-28 17:00:00,Volunteers[10.00 #15],6046.5
6,1.6,Building material post,2.0,1.6,2.4,2019-12-31 14:00:00,2020-01-02 14:00:00,Volunteers[8.00 #15],2250.5
7,1.7,Building bridges and exits,7.0,5.6,8.4,2019-12-16 10:00:00,2019-12-23 10:00:00,Volunteers[4.00 #15],2642.5
8,1.8,Building plateau and staircase audience,1.0,0.8,1.2,2020-01-01 14:00:00,2020-01-02 14:00:00,Volunteers[4.00 #15],714.5
9,1.9,Building camera plateau,1.0,0.8,1.2,2019-12-30 14:00:00,2019-12-31 14:00:00,Volunteers[4.00 #15],714.5
10,1.1,Creating starting sections and finish line,0.33333333329937886,0.27,0.4,2019-12-30 09:00:00,2019-12-30 17:00:00,Volunteers[2.00 #15],658.5
11,1.11,Installing bicycle storage,2.0,1.6,2.4,2019-12-14 10:00:00,2019-12-16 10:00:00,Volunteers[2.00 #15],658.5
13,1.12,Placing poles for banners and flags,0.16666666659875773,0.13,0.2,2019-12-24 10:00:00,2019-12-24 14:00:00,Volunteers[2.00 #15],626.5
14,1.13,Hanging banners,2.0,1.6,2.4,2020-01-06 14:00:00,2020-01-08 14:00:00,Volunteers[12.00 #15],1274.5
15,1.14,Hanging track signs,1.0,0.8,1.2,2019-12-30 14:00:00,2019-12-31 14:00:00,Volunteers[4.00 #15],714.5
16,1.15,Placing flagpoles for homage,0.16666666659875773,0.13,0.2,2019-12-28 10:00:00,2019-12-28 14:00:00,Volunteers[4.00 #15],650.5
17,1.16,Building podium,1.0,0.8,1.2,2019-12-23 10:00:00,2019-12-24 10:00:00,Volunteers[5.00 #15],3442.5
18,1.17,Placing traffic signs,1.0,0.8,1.2,2020-01-02 14:00:00,2020-01-03 14:00:00,Volunteers[4.00 #15],714.5
19,1.18,Placing crush barriers and banners,3.0,2.4,3.6,2020-01-03 14:00:00,2020-01-06 14:00:00,Volunteers[12.00 #15],2924.5
20,1.19,Constructing VIP tents,1.0,0.8,1.2,2019-12-25 10:00:00,2019-12-26 10:00:00,Volunteers[2.00 #15],28658.5
21,1.2,Placing building fences for VIP tents,1.0,0.8,1.2,2019-12-31 14:00:00,2020-01-01 14:00:00,Volunteers[6.00 #15],3845.5
22,1.21,Installing drains for VIP tents,1.0,0.8,1.2,2019-12-26 10:00:00,2019-12-27 10:00:00,Volunteers[2.00 #15],658.5
23,1.22,Decorating VIP tents,1.0,0.8,1.2,2020-01-02 14:00:00,2020-01-03 14:00:00,Volunteers[8.00 #15],43826.5
24,1.23,Placing toilets for VIP tents,1.0,0.8,1.2,2019-12-27 10:00:00,2019-12-28 10:00:00,Volunteers[2.00 #15],1633.5
25,1.24,Placing public toilets,2.0,1.6,2.4,2019-12-14 10:00:00,2019-12-16 10:00:00,Volunteers[2.00 #15],2580.5
26,1.25,Placing garbage bins,1.0,0.8,1.2,2019-12-30 14:00:00,2019-12-31 14:00:00,Volunteers[4.00 #15],3554.30004882813
27,1.26,Placing and testing generator,1.0,0.8,1.2,2019-12-24 10:00:00,2019-12-25 10:00:00,Volunteers[2.00 #15],3028.5
28,1.27,Equipping material post,1.0,0.8,1.2,2020-01-02 14:00:00,2020-01-03 14:00:00,Volunteers[2.00 #15],1642.5
29,1.28,Testing high pressure cleaners,0.125,0.1,0.15,2020-01-03 14:00:00,2020-01-03 17:00:00,Volunteers[2.00 #15],626.5
30,1.29,Final check up,0.9166666667006211,0.73,1.1,2020-01-08 14:00:00,2020-01-09 12:00:00,Volunteers[2.00 #15],650.5
31,1.3,Finish,0.0,0.0,0.0,2020-01-09 12:00:00,2020-01-09 12:00:00,,0.0
