node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Residential House Structural Work,175.375,173.62,177.13,2016-03-07 08:00:00,2016-08-29 17:00:00,,95694
20,1.1,Voorbereiding,24.375,24.13,24.62,2016-03-07 08:00:00,2016-03-31 17:00:00,,6220
1,1.1.1,Transportkosten,2.375,1.9,2.85,2016-03-07 08:00:00,2016-03-09 17:00:00,,750
2,1.1.2,Studiekosten,24.375,19.5,29.25,2016-03-07 08:00:00,2016-03-31 17:00:00,,5470
21,1.2,Funderingen,38.375,37.99,38.76,2016-04-01 08:00:00,2016-05-09 17:00:00,,12241
3,1.2.1,Funderingen,38.375,30.7,46.05,2016-04-01 08:00:00,2016-05-09 17:00:00,,12241
22,1.3,Ruwbouw,111.375,110.26,112.49,2016-05-10 08:00:00,2016-08-29 17:00:00,,77233
4,1.3.1,Gewa/Metselwerk,30.375,24.3,36.45,2016-05-10 08:00:00,2016-06-09 17:00:00,,22982
5,1.3.2,Gewelven/Structuur,11.375,9.1,13.65,2016-06-10 08:00:00,2016-06-21 17:00:00,,10216
6,1.3.3,Uitbranden GEWA,3.375,2.7,4.05,2016-06-10 08:00:00,2016-06-13 17:00:00,,528
7,1.3.4,Isolatie,9.375,7.5,11.25,2016-06-22 08:00:00,2016-07-01 17:00:00,,5773
8,1.3.5,Parament,30.375,24.3,36.45,2016-07-04 08:00:00,2016-08-03 17:00:00,,27764
9,1.3.6,Ytong,11.375,9.1,13.65,2016-08-04 08:00:00,2016-08-15 17:00:00,,2276
10,1.3.7,Dorpels,1.375,1.1,1.65,2016-08-16 08:00:00,2016-08-17 17:00:00,,2878
11,1.3.8,Voegwerk,9.375,7.5,11.25,2016-08-16 08:00:00,2016-08-25 17:00:00,,2191
12,1.3.9,Stelling,10.375,8.3,12.45,2016-08-16 08:00:00,2016-08-26 17:00:00,,2425
13,1.3.10,Karweien,0.375,0.3,0.45,2016-08-29 08:00:00,2016-08-29 17:00:00,,200
