node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Website Tennis Vlaanderen,280.375,277.57,283.18,2013-05-24 08:00:00,2014-02-28 17:00:00,,219275
28,1.1,aanvang,48.1666666666667,47.69,48.65,2013-05-24 13:00:00,2013-07-11 17:00:00,,32100
1,1.1.1,start implementatie project,1.16666666666667,0.93,1.4,2013-06-11 08:00:00,2013-06-12 12:00:00,developer,1050
2,1.1.2,project management plan inclusief acceptatiecriteria,48.1666666666667,38.53,57.8,2013-05-24 13:00:00,2013-07-11 17:00:00,project manager,31050
29,1.2,detaillering,116.375,115.21,117.54,2013-05-24 08:00:00,2013-09-17 17:00:00,,42800
3,1.2.1,start functionele analyse/wireframes,19.375,15.5,23.25,2013-05-24 08:00:00,2013-06-12 17:00:00,senior consultant,11200
4,1.2.2,deliverable wireframes Amplexor,34.375,27.5,41.25,2013-07-16 08:00:00,2013-08-19 17:00:00,senior consultant,20000
5,1.2.3,functioneel & technisch ontwerp,18.1666666666667,14.53,21.8,2013-08-12 13:00:00,2013-08-30 17:00:00,senior consultant,11600
6,1.2.4,volledige oplevering HIG,0.0,0.0,0.0,2013-09-17 17:00:00,2013-09-17 17:00:00,,0
35,1.3,bouw,205.375,203.32,207.43,2013-08-07 08:00:00,2014-02-28 17:00:00,,144375
7,1.3.1,installatie en algemene opzet,16.375,13.1,19.65,2013-08-07 08:00:00,2013-08-23 17:00:00,senior developer,9750
30,1.3.2,sprints naar release 1,62.375,61.75,63.0,2013-08-29 08:00:00,2013-10-30 17:00:00,,63000
8,1.3.2.1,"WCM-luik: search, inloggen, infotheek, basisrechten, ...",62.375,49.9,74.85,2013-08-29 08:00:00,2013-10-30 17:00:00,developer;extra developer,63000
31,1.3.3,transitie (tussentijds),78.375,77.59,79.16,2013-10-31 08:00:00,2014-01-17 17:00:00,,8625
9,1.3.3.1,deploy 1 naar ACC-omgeving,0.375,0.3,0.45,2013-10-31 08:00:00,2013-10-31 17:00:00,developer,700
10,1.3.3.2,deploy 2 naar ACC-omgeving,0.375,0.3,0.45,2013-11-25 08:00:00,2013-11-25 17:00:00,developer,700
11,1.3.3.3,rework,6.16666666666667,4.93,7.4,2013-12-06 08:00:00,2013-12-12 12:00:00,developer,3150
12,1.3.3.4,deploy 3 naar ACC-omgeving,0.375,0.3,0.45,2013-12-17 08:00:00,2013-12-17 17:00:00,developer,700
13,1.3.3.5,acceptatie release 1 - einde testfase,0.0,0.0,0.0,2014-01-16 17:00:00,2014-01-16 17:00:00,,0
14,1.3.3.6,deploy 4 naar ACC-omgeving,4.16666666666667,3.33,5.0,2014-01-13 08:00:00,2014-01-17 12:00:00,senior developer,3375
15,1.3.3.7,installatie PROD-server,0.0,0.0,0.0,2014-01-16 17:00:00,2014-01-16 17:00:00,,0
16,1.3.3.8,start authoring door klant (alleen site),0.0,0.0,0.0,2014-01-17 17:00:00,2014-01-17 17:00:00,,0
32,1.3.4,vervollediging naar release voor go live,14.375,14.23,14.52,2014-01-17 08:00:00,2014-01-31 17:00:00,,2150
17,1.3.4.1,"productie installed, deploy 4 ook naar PROD-omgeving",0.375,0.3,0.45,2014-01-17 08:00:00,2014-01-17 17:00:00,senior developer,750
18,1.3.4.2,bugfixing + 'profielbeheer aanmaken',0.375,0.3,0.45,2014-01-31 08:00:00,2014-01-31 17:00:00,developer,700
19,1.3.4.3,deploy 5 naar ACC,0.375,0.3,0.45,2014-01-31 08:00:00,2014-01-31 17:00:00,developer,700
20,1.3.4.4,release januari,0.0,0.0,0.0,2014-01-30 17:00:00,2014-01-30 17:00:00,,0
33,1.3.5,sprints naar release after go live,74.375,73.63,75.12,2013-12-16 08:00:00,2014-02-28 17:00:00,,60850
21,1.3.5.1,ontwikkeling release 2,36.375,29.1,43.65,2014-01-22 08:00:00,2014-02-27 17:00:00,developer,18900
22,1.3.5.2,extra deploy (CR1),0.375,0.3,0.45,2014-02-27 08:00:00,2014-02-27 17:00:00,senior developer,750
23,1.3.5.3,release februari,0.0,0.0,0.0,2014-02-27 17:00:00,2014-02-27 17:00:00,,0
24,1.3.5.4,testfase,32.375,25.9,38.85,2013-12-16 08:00:00,2014-01-17 17:00:00,senior developer,18750
25,1.3.5.5,rework,38.375,30.7,46.05,2013-12-17 08:00:00,2014-01-24 17:00:00,senior developer,21750
26,1.3.5.6,deploy 6 naar PROD-omgeving,0.375,0.3,0.45,2014-02-28 08:00:00,2014-02-28 17:00:00,developer,700
37,1.4,productie,0.0,0.0,0.0,2014-02-28 17:00:00,2014-02-28 17:00:00,,0
36,1.4.1,uiterste deadline - officiële voorstelling,0.0,0.0,0.0,2014-02-28 17:00:00,2014-02-28 17:00:00,,0
