node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,PROJECT FUEL TANK FILTER,711.375,711.375,711.375,2016-05-09 08:00:00,2018-04-20 17:00:00,,1456000
1,1.1,Research &amp; pre-design study P87,311.375,308.26,314.49,2016-05-09 08:00:00,2017-03-16 17:00:00,,220000
2,1.2,Research &amp; pre-design study P84 /P1UO,290.375,287.47,293.28,2016-05-30 08:00:00,2017-03-16 17:00:00,,253000
3,1.3,"Echange documentaire PSA (Responsibility matrix, CD price, Fete 43, 45 and 46)",39.375,38.98,39.77,2016-11-14 08:00:00,2016-12-23 17:00:00,,70000
18,1.4,P84/P1UO,407.375,407.375,407.375,2016-10-13 08:00:00,2017-11-24 17:00:00,,245000
4,1.4.1,Instal blow mold tool diesel,372.375,368.65,376.1,2016-10-13 08:00:00,2017-10-20 17:00:00,,145000
5,1.4.2,Instal welding line P84,309.375,306.28,312.47,2016-12-22 08:00:00,2017-10-27 17:00:00,,5000
6,1.4.3,Assembly line Sochaux,337.375,334.0,340.75,2016-12-22 08:00:00,2017-11-24 17:00:00,,95000
19,1.5,P87,414.375,414.375,414.375,2016-10-13 08:00:00,2017-12-01 17:00:00,,234000
7,1.5.1,Blow mold tool diesel,349.375,345.88,352.87,2016-10-13 08:00:00,2017-09-27 17:00:00,,150000
8,1.5.2,Instal welding line P87,281.375,278.56,284.19,2016-12-22 08:00:00,2017-09-29 17:00:00,,10000
9,1.5.3,Assembly line Rennes,344.375,340.93,347.82,2016-12-22 08:00:00,2017-12-01 17:00:00,,74000
10,1.6,Visual Design &amp; Engineer P84/P1UO,376.375,372.61,380.14,2017-03-17 08:00:00,2018-03-28 17:00:00,,17000
11,1.7,Visual Design &amp; Engineer P87,359.375,355.78,362.97,2017-03-20 08:00:00,2018-03-14 17:00:00,,19000
12,1.8,Blow mold &amp; Welding line equipment for P84/P1UO,21.375,21.16,21.59,2018-03-29 08:00:00,2018-04-19 17:00:00,,199000
13,1.9,PRSEL validation P84/P1UO,0.375,0.37,0.38,2018-04-19 08:00:00,2018-04-19 17:00:00,,0
14,1.10,Blow mold &amp; Welding line equipment for P87,36.375,36.01,36.74,2018-03-15 08:00:00,2018-04-20 17:00:00,,199000
15,1.11,PRSEL validation P87,0.375,0.37,0.38,2018-04-20 08:00:00,2018-04-20 17:00:00,,0
