node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Electric and ecological step sharing project,400.0,400.0,400.0,2019-11-25 08:00:00,2021-06-04 17:00:00,,0
1,1.1,Survey development,2.0,1.6,2.4,2019-11-25 08:00:00,2019-11-27 12:00:00,Marketing resource[2.00 #2],0
2,1.2,Survey distribution,20.0,16.0,24.0,2019-11-27 13:00:00,2019-12-25 12:00:00,Marketing resource[2.00 #2],0
3,1.3,Surve analysis,5.0,4.0,6.0,2019-12-25 13:00:00,2020-01-01 12:00:00,Marketing resource[2.00 #2],0
4,1.4,Financial scheduling,5.0,4.0,6.0,2020-01-01 13:00:00,2020-01-08 12:00:00,Marketing resource;Technical resource,0
5,1.5,Business plan,15.0,12.0,18.0,2020-01-08 13:00:00,2020-01-29 12:00:00,Marketing resource[2.00 #2];Technical resource[2.00 #4],0
6,1.6,Search for ecological partners,10.0,8.0,12.0,2020-01-29 13:00:00,2020-02-12 12:00:00,Marketing resource[2.00 #2],0
7,1.7,Market strategy,5.0,4.0,6.0,2020-06-24 13:00:00,2020-07-01 12:00:00,Marketing resource[2.00 #2],0
8,1.8,Approval government,55.0,44.0,66.0,2020-07-01 13:00:00,2020-09-16 12:00:00,,0
9,1.9,Sponsoring,25.0,20.0,30.0,2020-02-12 13:00:00,2020-03-18 12:00:00,Marketing resource[2.00 #2],0
10,1.1,Software research,15.0,12.0,18.0,2020-03-18 13:00:00,2020-04-08 12:00:00,Marketing resource;Technical resource[2.00 #4],0
11,1.11,Development software,25.0,20.0,30.0,2020-04-08 13:00:00,2020-05-13 12:00:00,Technical resource[3.00 #4],0
12,1.12,Software testing,10.0,8.0,12.0,2020-05-13 13:00:00,2020-05-27 12:00:00,Technical resource[2.00 #4],0
13,1.13,Tendering,45.0,36.0,54.0,2020-04-08 13:00:00,2020-06-10 12:00:00,Marketing resource[2.00 #2];Technical resource,0
14,1.14,Comparing offers,10.0,8.0,12.0,2020-06-10 13:00:00,2020-06-24 12:00:00,Marketing resource[2.00 #2];Technical resource[2.00 #4],0
15,1.15,Collect aluminium from partner,5.0,4.0,6.0,2020-02-12 13:00:00,2020-02-19 12:00:00,Technical resource[2.00 #4],0
16,1.16,Recycle aluminium,10.0,8.0,12.0,2020-02-19 13:00:00,2020-03-04 12:00:00,Technical resource[2.00 #4],0
17,1.17,Manufacturing steps,50.0,40.0,60.0,2020-06-24 13:00:00,2020-09-02 12:00:00,,0
18,1.18,Manufacturing charging stations,60.0,48.0,72.0,2020-06-24 13:00:00,2020-09-16 12:00:00,,0
19,1.19,Installation charging stations,15.0,12.0,18.0,2020-09-16 13:00:00,2020-10-07 12:00:00,,0
20,1.2,Placing solar panels,10.0,8.0,12.0,2020-10-07 13:00:00,2020-10-21 12:00:00,Technical resource[2.00 #4],0
21,1.21,Calculate total emission of project,2.0,1.6,2.4,2020-10-21 13:00:00,2020-10-23 17:00:00,Technical resource[2.00 #4],0
22,1.22,Compensate total emission,15.0,12.0,18.0,2020-10-28 13:00:00,2020-11-18 12:00:00,Marketing resource[2.00 #2];Technical resource,0
23,1.23,Request CO2 neutral label,20.0,16.0,24.0,2020-11-18 13:00:00,2020-12-16 12:00:00,Marketing resource,0
24,1.24,Development marketing campaign,25.0,20.0,30.0,2020-12-16 13:00:00,2021-01-20 12:00:00,Marketing resource[2.00 #2],0
25,1.25,Search office,60.0,48.0,72.0,2020-07-01 13:00:00,2020-09-23 12:00:00,Marketing resource;Technical resource,0
26,1.26,Customer helpdesk,25.0,20.0,30.0,2020-09-23 13:00:00,2020-10-28 12:00:00,Marketing resource[2.00 #2];Technical resource,0
27,1.27,Marketing campaign,25.0,20.0,30.0,2021-01-20 13:00:00,2021-02-24 12:00:00,Marketing resource[2.00 #2],0
28,1.28,Initial launch,50.0,40.0,60.0,2021-02-24 13:00:00,2021-05-05 12:00:00,Marketing resource;Technical resource[2.00 #4],0
29,1.29,Adjustments,20.0,16.0,24.0,2021-05-05 13:00:00,2021-06-02 12:00:00,Technical resource[3.00 #4],0
30,1.3,Official launch,2.0,1.6,2.4,2021-06-02 13:00:00,2021-06-04 17:00:00,Marketing resource[2.00 #2];Technical resource[4.00 #4],0
