node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Project 22 ProTrack,28.375,28.09,28.66,2018-01-01 08:00:00,2018-01-29 17:00:00,,37980
17,1.1,Draw up a technical file,1.375,1.1,1.65,2018-01-01 08:00:00,2018-01-02 17:00:00,Resource1[3.00 #5],2400
18,1.2,Kick-off meeting,0.375,0.3,0.45,2018-01-03 08:00:00,2018-01-03 17:00:00,Resource1[5.00 #5],4000
3,1.3,Coordination meeting and working session,4.375,3.5,5.25,2018-01-04 08:00:00,2018-01-08 17:00:00,Resource1[5.00 #5],4000
4,1.4,Drilling holes,2.375,1.9,2.85,2018-01-09 08:00:00,2018-01-11 17:00:00,Resource 2[2.00 #4],640
5,1.5,Construction cable ways,4.375,3.5,5.25,2018-01-12 08:00:00,2018-01-16 17:00:00,Resource 2[2.00 #4],2140
6,1.6,Cabling,2.375,1.9,2.85,2018-01-17 08:00:00,2018-01-19 17:00:00,Resource 2[2.00 #4],4240
7,1.7,Cabinet delivery and installation,0.375,0.3,0.45,2018-01-09 08:00:00,2018-01-09 17:00:00,Resource 2[2.00 #4],1640
8,1.8,Connecting the cabinet to the data network of Infrabel via fibre optics,1.375,1.1,1.65,2018-01-10 08:00:00,2018-01-11 17:00:00,Resource 2[3.00 #4],2460
9,1.9,Equipping the cabinet with patch panels and switches,0.375,0.3,0.45,2018-01-10 08:00:00,2018-01-10 17:00:00,Resource 2[2.00 #4],2640
10,1.1,Connecting the camera cables to the patch panel in the cabinet,0.375,0.3,0.45,2018-01-11 08:00:00,2018-01-11 17:00:00,Resource 2[2.00 #4],640
11,1.11,Measurements of the cables,0.375,0.3,0.45,2018-01-12 08:00:00,2018-01-12 17:00:00,Resource 2,320
12,1.12,Delivery and unpacking the cameras,4.375,3.5,5.25,2018-01-11 08:00:00,2018-01-15 17:00:00,Resource 2[2.00 #4],9640
13,1.13,Inspection of the cameras,1.375,1.1,1.65,2018-01-16 08:00:00,2018-01-17 17:00:00,Resource 2[2.00 #4],640
14,1.14,Inserting and connecting the camera,1.375,1.1,1.65,2018-01-22 08:00:00,2018-01-23 17:00:00,Resource 2[2.00 #4],1140
15,1.15,Camera programming and testing,1.375,1.1,1.65,2018-01-24 08:00:00,2018-01-25 17:00:00,Resource 2,320
16,1.16,Drawing an as-built plan of the installation and the delivery of the project,3.375,2.7,4.05,2018-01-26 08:00:00,2018-01-29 17:00:00,Resource 2;Resource1,1120
