node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Cornflakes,385.08333333340124,346.58,388.93,2018-11-28 08:00:00,2019-12-18 10:00:00,,751410
31,1.1,Meeting with company,0.375,0.3,0.45,2018-11-28 08:00:00,2018-11-28 17:00:00,,0
5,1.2,Selection Raw Materials,8.375,6.7,10.05,2018-11-29 08:00:00,2018-12-07 17:00:00,Engineer[2.00 #4],22800
6,1.3,Order an receive raw materials,18.375,14.7,22.05,2018-12-10 08:00:00,2018-12-28 17:00:00,,1300
7,1.4,R&D test trail,81.375,65.1,97.65,2018-12-31 08:00:00,2019-03-22 17:00:00,Engineer[2.00 #4],198160
8,1.5,R&D analysis texture,28.375,22.7,34.05,2019-03-25 08:00:00,2019-04-22 17:00:00,Engineer[2.00 #4],67600
9,1.6,R&D taste test,111.375,89.1,133.65,2019-04-23 08:00:00,2019-08-12 17:00:00,,0
12,1.7,Feedback loop: taste,1.375,1.1,1.65,2019-08-13 08:00:00,2019-08-14 17:00:00,Engineer[2.00 #4],6800
13,1.8,Order and receive final raw materials,20.375,16.3,24.45,2019-08-15 08:00:00,2019-09-04 17:00:00,,10000
14,1.9,R&D designing extrusion head,115.08333333340124,92.07,138.1,2018-12-10 08:00:00,2019-04-04 10:00:00,Engineer[2.00 #4],268800
15,1.1,Feedback loop: extrusion head,0.29166666659875773,0.23,0.35,2019-04-04 10:00:00,2019-04-04 17:00:00,Engineer[2.00 #4],2800
21,1.11,Production Final extrusion head,45.375,36.3,54.45,2019-04-05 08:00:00,2019-05-20 17:00:00,,15000
22,1.12,Final extrusion head installation,13.375,10.7,16.05,2019-05-21 08:00:00,2019-06-03 17:00:00,Operator,12150
23,1.13,Packaging design,35.0,28.0,42.0,2019-04-04 10:00:00,2019-05-09 10:00:00,Engineer[2.00 #4],81600
24,1.14,Industrial test,13.375,10.7,16.05,2019-09-05 08:00:00,2019-09-18 17:00:00,Operator[3.00 #3],36450
25,1.15,Extra quality check,1.375,1.1,1.65,2019-09-19 08:00:00,2019-09-20 17:00:00,Operator,2550
28,1.16,Consumer test,86.08333333340124,68.87,103.3,2019-09-23 08:00:00,2019-12-18 10:00:00,,1000
29,1.17,Control claims,8.375,6.7,10.05,2019-09-19 08:00:00,2019-09-27 17:00:00,Engineer,11400
30,1.18,Adjust HACCP,11.375,9.1,13.65,2019-09-19 08:00:00,2019-09-30 17:00:00,Engineer,13000
