node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Paradice,362.08333333340124,358.46,365.7,2019-10-28 08:00:00,2020-10-24 10:00:00,,142020
1,1.1,Start,0.625,0.5,0.75,2019-10-28 08:00:00,2019-10-27 17:00:00,,0
2,1.2,Request Building permit,69.375,55.5,83.25,2019-10-28 08:00:00,2020-01-05 17:00:00,,20
3,1.3,Select best contractor,13.375,10.7,16.05,2019-10-28 08:00:00,2019-11-10 17:00:00,,160
4,1.4,Estimate costs,6.375,5.1,7.65,2020-01-06 08:00:00,2020-01-12 17:00:00,,1120
5,1.5,Install utilities,1.375,1.1,1.65,2020-01-13 08:00:00,2020-01-14 17:00:00,,960
6,1.6,Measuring building plot,1.375,1.1,1.65,2020-01-15 08:00:00,2020-01-16 17:00:00,,640
7,1.7,Start-up meeting,0.375,0.3,0.45,2020-01-17 08:00:00,2020-01-17 17:00:00,,960
8,1.8,Earthwork,31.375,25.1,37.65,2020-01-18 08:00:00,2020-02-18 17:00:00,,15360
9,1.9,Construction works,85.375,68.3,102.45,2020-02-19 08:00:00,2020-05-14 17:00:00,,55040
10,1.1,Roofing,23.375,18.7,28.05,2020-05-15 08:00:00,2020-06-07 17:00:00,,7680
11,1.11,Sewerage System,13.375,10.7,16.05,2020-06-08 08:00:00,2020-06-21 17:00:00,,0
12,1.12,Measuring external woodwork,1.375,1.1,1.65,2020-06-08 08:00:00,2020-06-09 17:00:00,,320
13,1.13,Placing piping system concerning electricity,14.375,11.5,17.25,2020-06-22 08:00:00,2020-07-06 17:00:00,,0
14,1.14,Piping system: heating + toilet plumbing,16.375,13.1,19.65,2020-06-22 08:00:00,2020-07-08 17:00:00,,8160
15,1.15,Placing ventilation,21.375,17.1,25.65,2020-07-09 08:00:00,2020-07-30 17:00:00,,7040
16,1.16,Performing external woodwork,5.375,4.3,6.45,2020-06-10 08:00:00,2020-06-15 17:00:00,,3840
17,1.17,Plastering,28.375,22.7,34.05,2020-07-31 08:00:00,2020-08-28 17:00:00,,4640
18,1.18,Floor insulation,13.375,10.7,16.05,2020-07-31 08:00:00,2020-08-13 17:00:00,,6720
19,1.19,Installing sanitary equipment,5.375,4.3,6.45,2020-07-31 08:00:00,2020-08-05 17:00:00,,1920
20,1.2,Examination/Inspection sewerage and others,1.375,1.1,1.65,2020-07-31 08:00:00,2020-08-01 17:00:00,,320
21,1.21,"Installing utilities (telephone, internet etc.)",1.375,1.1,1.65,2020-08-06 08:00:00,2020-08-07 17:00:00,,640
22,1.22,Tiling (floors and walls),27.375,21.9,32.85,2020-08-29 08:00:00,2020-09-25 17:00:00,,8960
23,1.23,Inner doors,1.375,1.1,1.65,2020-09-26 08:00:00,2020-09-27 17:00:00,,320
24,1.24,Paintwork,14.375,11.5,17.25,2020-09-26 08:00:00,2020-10-10 17:00:00,,4800
25,1.25,Lighting system,4.375,3.5,5.25,2020-09-26 08:00:00,2020-09-30 17:00:00,,1600
26,1.26,As-builtplan,1.375,1.1,1.65,2020-10-12 08:00:00,2020-10-13 17:00:00,,320
27,1.27,Cleaning construction site,3.375,2.7,4.05,2020-10-14 08:00:00,2020-10-17 17:00:00,,1920
28,1.28,Completion of works,1.0833333334012423,0.87,1.3,2020-10-18 08:00:00,2020-10-19 10:00:00,,400
29,1.29,Remove site installation,2.0,1.6,2.4,2020-10-19 10:00:00,2020-10-21 10:00:00,,640
30,1.3,Purchasing skates and other necessities,2.375,1.9,2.85,2020-06-08 08:00:00,2020-06-10 17:00:00,,480
31,1.31,Furnishing of the cafetaria and other places,4.0,3.2,4.8,2020-10-19 10:00:00,2020-10-23 10:00:00,,1280
32,1.32,Purchasing food and beverages,2.0,1.6,2.4,2020-10-19 10:00:00,2020-10-21 10:00:00,,640
33,1.33,Official opening,1.0,0.8,1.2,2020-10-23 10:00:00,2020-10-24 10:00:00,,960
34,1.34,Laying plastic sheet,0.375,0.3,0.45,2020-09-26 08:00:00,2020-09-26 17:00:00,,640
35,1.35,Laying ice mats / plastic tubing,0.375,0.3,0.45,2020-09-27 08:00:00,2020-09-27 17:00:00,,320
36,1.36,Placing barrier around ice rink,1.375,1.1,1.65,2020-09-27 08:00:00,2020-09-28 17:00:00,,640
37,1.37,Fill ice mats with anti-freeze,1.375,1.1,1.65,2020-09-28 08:00:00,2020-09-29 17:00:00,,640
38,1.38,Fill with water (30 layers) dry in between,9.375,7.5,11.25,2020-09-30 08:00:00,2020-10-09 17:00:00,,1600
39,1.39,Finishing touch ice skating rink by placing logo,1.375,1.1,1.65,2020-10-10 08:00:00,2020-10-11 17:00:00,,320
