node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Construction house,164.33333333340124,162.69,165.98,2017-01-02 08:00:00,2017-06-15 16:00:00,,201405.6
1,1.1,Organization construction site,0.375,0.3,0.45,2017-01-02 08:00:00,2017-01-02 17:00:00,Excavation/fundation crew[4.00 #4],1440.0
2,1.2,Excavation,6.166666666598758,4.93,7.4,2017-01-04 13:00:00,2017-01-10 17:00:00,Excavation/fundation crew[4.00 #4],6480.0
3,1.3,Fundation,4.375,3.5,5.25,2017-01-13 08:00:00,2017-01-17 17:00:00,Excavation/fundation crew[4.00 #4],5520.0
4,1.4,Floor basement,3.375,2.7,4.05,2017-01-20 08:00:00,2017-01-23 17:00:00,Masonry[4.00 #4],3398.4
5,1.5,masonry basement,5.375,4.3,6.45,2017-01-25 08:00:00,2017-01-30 17:00:00,Masonry[4.00 #4],6696.8
6,1.6,Sewage,1.125,0.9,1.35,2017-01-31 08:00:00,2017-02-01 11:00:00,Excavation/fundation crew[4.00 #4],2480.0
7,1.7,Pier and beam/joist basement,1.2083333334012423,0.97,1.45,2017-02-01 11:00:00,2017-02-02 16:00:00,Masonry[4.00 #4],3448.8
8,1.8,Masonry ground level + first level,40.0,32.0,48.0,2017-02-02 16:00:00,2017-03-14 16:00:00,Masonry[4.00 #4],50377.6
9,1.9,Sills,1.7083333332993789,1.37,2.05,2017-03-14 16:00:00,2017-03-16 09:00:00,Floor/Sills worker[2.00 #2],1540.0
10,1.1,Roof construction,16.0,12.8,19.2,2017-03-14 16:00:00,2017-03-30 16:00:00,Roof worker[3.00 #3],19577.6
11,1.11,Gutter instalment,4.0,3.2,4.8,2017-03-30 16:00:00,2017-04-03 16:00:00,Plumber,1688.0
12,1.12,Inner joinery,2.0,1.6,2.4,2017-04-04 16:00:00,2017-04-06 16:00:00,Joiner (jointing/doors/windows)[2.00 #2],2828.0
13,1.13,Ventilation provisions,4.0,3.2,4.8,2017-03-30 16:00:00,2017-04-03 16:00:00,Plumber,4688.0
14,1.14,plumbing,5.0,4.0,6.0,2017-03-30 16:00:00,2017-04-04 16:00:00,Plumber,1832.0
15,1.15,electricity,5.0,4.0,6.0,2017-04-06 16:00:00,2017-04-11 16:00:00,Electrician,1536.8
16,1.16,Outer doors and windows,5.0,4.0,6.0,2017-03-30 16:00:00,2017-04-04 16:00:00,Joiner (jointing/doors/windows)[2.00 #2],11992.0
17,1.17,Inner window sills,1.0,0.8,1.2,2017-04-04 16:00:00,2017-04-05 16:00:00,Floor/Sills worker[2.00 #2],1472.0
18,1.18,Plastering,21.0,16.8,25.2,2017-04-11 16:00:00,2017-05-02 16:00:00,Plastering[2.00 #2],9716.0
19,1.19,Floor insulation,1.0,0.8,1.2,2017-05-02 16:00:00,2017-05-03 16:00:00,Floor/Sills worker[2.00 #2],3172.0
20,1.2,Screed,5.791666666598758,4.63,6.95,2017-05-03 16:00:00,2017-05-09 11:00:00,Floor/Sills worker[2.00 #2],3952.0
21,1.21,Tiling floor (basement + ground level),12.0,9.6,14.4,2017-05-18 11:00:00,2017-05-30 11:00:00,Floor/Sills worker[2.00 #2],11204.0
22,1.22,Llaminated floor (First level),4.208333333401242,3.37,5.05,2017-06-08 11:00:00,2017-06-12 16:00:00,Joiner (jointing/doors/windows)[2.00 #2],4860.0
23,1.23,Wooden staircase placement,2.0,1.6,2.4,2017-05-30 11:00:00,2017-06-01 11:00:00,Joiner (jointing/doors/windows)[2.00 #2],3328.0
24,1.24,"Central heating, Sanitary",3.0,2.4,3.6,2017-05-09 11:00:00,2017-05-12 11:00:00,Plumber,7532.0
25,1.25,Finish electricity,3.0,2.4,3.6,2017-05-09 11:00:00,2017-05-12 11:00:00,Electrician,4536.8
26,1.26,Pointing the wall,4.0,3.2,4.8,2017-04-03 16:00:00,2017-04-07 16:00:00,Masonry[4.00 #4],5696.8
27,1.27,Inner doors,3.0,2.4,3.6,2017-06-12 16:00:00,2017-06-15 16:00:00,Joiner (jointing/doors/windows)[2.00 #2],4492.0
28,1.28,Bathroom installment,1.0,0.8,1.2,2017-06-12 16:00:00,2017-06-13 16:00:00,Bathroom/kitchen installer[2.00 #2],2640.0
29,1.29,Kitchen installment,2.0,1.6,2.4,2017-06-12 16:00:00,2017-06-14 16:00:00,Bathroom/kitchen installer[2.00 #2],13280.0
