node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Project,154.0,152.46,155.54,2018-09-03 09:00:00,2019-02-04 09:00:00,,0
1,1.1,App development,154.0,152.46,155.54,2018-09-03 09:00:00,2019-02-04 09:00:00,,0
2,1.1.1,Analysis,43.0,42.57,43.43,2018-09-03 09:00:00,2018-10-16 09:00:00,,0
3,1.1.1.1,Documentation prior the software development ,7.0,5.6,8.4,2018-09-03 09:00:00,2018-09-10 09:00:00,,0
4,1.1.1.2,Development of a low fidelity prototype,10.0,8.0,12.0,2018-09-10 09:00:00,2018-09-20 09:00:00,,0
5,1.1.1.3,Writing user stories,7.0,5.6,8.4,2018-09-10 09:00:00,2018-09-17 09:00:00,,0
6,1.1.1.4,User stories prototype,10.0,8.0,12.0,2018-09-24 09:00:00,2018-10-04 09:00:00,,0
7,1.1.1.5,Requirement modelling,7.0,5.6,8.4,2018-09-17 09:00:00,2018-09-24 09:00:00,,0
8,1.1.1.6,Use case modelling,7.0,5.6,8.4,2018-10-04 09:00:00,2018-10-11 09:00:00,,0
9,1.1.1.7,Submit results ,5.0,4.0,6.0,2018-10-11 09:00:00,2018-10-16 09:00:00,,0
10,1.1.2,Design,27.0,26.73,27.27,2018-10-16 09:00:00,2018-11-12 09:00:00,,0
11,1.1.2.1,Software architecture,10.0,8.0,12.0,2018-10-16 09:00:00,2018-10-26 09:00:00,,0
12,1.1.2.2,Class diagram,7.0,5.6,8.4,2018-10-16 09:00:00,2018-10-23 09:00:00,,0
13,1.1.2.3,Database modelling,12.0,9.6,14.4,2018-10-26 09:00:00,2018-11-07 09:00:00,,0
14,1.1.2.4,Submit results ,5.0,4.0,6.0,2018-11-07 09:00:00,2018-11-12 09:00:00,,0
15,1.1.3,Execution,46.0,45.54,46.46,2018-11-12 09:00:00,2018-12-28 09:00:00,,0
16,1.1.3.1,GPS verification and activation,3.0,2.4,3.6,2018-11-12 09:00:00,2018-11-15 09:00:00,,0
17,1.1.3.2,Locate the mobile in the map,1.0,0.8,1.2,2018-11-15 09:00:00,2018-11-16 09:00:00,,0
18,1.1.3.3,Start app,3.0,2.4,3.6,2018-11-16 09:00:00,2018-11-19 09:00:00,,0
19,1.1.3.4,Measure,7.0,5.6,8.4,2018-11-19 09:00:00,2018-11-26 09:00:00,,0
20,1.1.3.5,Information storing,10.0,8.0,12.0,2018-11-26 09:00:00,2018-12-06 09:00:00,,0
21,1.1.3.6,Daily report generating ,12.0,9.6,14.4,2018-12-06 09:00:00,2018-12-18 09:00:00,,0
22,1.1.3.7,Share the progress in Twitter,7.0,5.6,8.4,2018-12-18 09:00:00,2018-12-25 09:00:00,,0
23,1.1.3.8,Submit results ,3.0,2.4,3.6,2018-12-25 09:00:00,2018-12-28 09:00:00,,0
24,1.1.4,Test,38.0,37.62,38.38,2018-12-28 09:00:00,2019-02-04 09:00:00,,0
25,1.1.4.1,Application test ,19.0,15.2,22.8,2018-12-28 09:00:00,2019-01-16 09:00:00,,0
26,1.1.4.2,App user guide,7.0,5.6,8.4,2019-01-16 09:00:00,2019-01-23 09:00:00,,0
27,1.1.4.3,Submit client feedback,12.0,9.6,14.4,2019-01-23 09:00:00,2019-02-04 09:00:00,,0
