node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Firenze race team,45.0,45.0,45.0,2020-02-05 08:00:00,2020-04-07 17:00:00,,0
1,1.1,New wing Design,5.0,4.0,6.0,2020-02-05 08:00:00,2020-02-11 17:00:00,,0
2,1.2,CFD simulation,1.0,0.8,1.2,2020-02-12 08:00:00,2020-02-13 10:00:00,,0
3,1.3,Clamping to Chassis (Desing and FEManalysis),4.0,3.2,4.8,2020-02-13 10:00:00,2020-02-19 10:00:00,,0
4,1.4,New brackets (desing and FEM),5.0,4.0,6.0,2020-03-17 08:00:00,2020-03-23 17:00:00,,0
5,1.5,New endplate design,12.0,9.6,14.4,2020-02-12 08:00:00,2020-02-27 17:00:00,,0
6,1.6,CFD simulation,12.0,9.6,14.4,2020-02-28 08:00:00,2020-03-16 17:00:00,,0
7,1.7,Resin & Carbon,6.0,4.8,7.2,2020-03-17 08:00:00,2020-03-24 17:00:00,,0
8,1.8,Molds,6.0,4.8,7.2,2020-03-25 08:00:00,2020-04-01 17:00:00,,0
9,1.9,Sheet metal Steel C45,1.0,0.8,1.2,2020-03-24 08:00:00,2020-03-24 17:00:00,,0
10,1.1,Laser Cut and Steel Weld,2.0,1.6,2.4,2020-03-25 08:00:00,2020-03-26 17:00:00,,0
11,1.11,Lamination,4.0,3.2,4.8,2020-04-02 08:00:00,2020-04-07 17:00:00,,0
12,1.12,Design,6.0,4.8,7.2,2020-02-12 08:00:00,2020-02-19 17:00:00,,0
13,1.13,Design,4.0,3.2,4.8,2020-02-12 08:00:00,2020-02-17 17:00:00,,0
14,1.14,Dynamic Simulation,4.0,3.2,4.8,2020-02-18 08:00:00,2020-02-21 17:00:00,,0
15,1.15,Pipes and cables,6.0,4.8,7.2,2020-02-12 08:00:00,2020-02-19 17:00:00,,0
16,1.16,Sheet metal C45,1.0,0.8,1.2,2020-02-12 08:00:00,2020-02-12 17:00:00,,0
17,1.17,Laser Cut and Steel Weld,2.0,1.6,2.4,2020-02-20 08:00:00,2020-02-21 17:00:00,,0
18,1.18,Definition,4.0,3.2,4.8,2020-02-12 08:00:00,2020-02-17 17:00:00,,0
19,1.19,Sizing,6.0,4.8,7.2,2020-02-18 08:00:00,2020-02-25 17:00:00,,0
20,1.2,Design,3.0,2.4,3.6,2020-02-12 08:00:00,2020-02-14 17:00:00,,0
21,1.21,Gearbox components,8.0,6.4,9.6,2020-02-26 08:00:00,2020-03-06 17:00:00,,0
22,1.22,Rear Sprocket,2.0,1.6,2.4,2020-02-17 08:00:00,2020-02-18 17:00:00,,0
23,1.23,Metal cut and machining,5.0,4.0,6.0,2020-03-09 08:00:00,2020-03-13 17:00:00,,0
24,1.24,Upper shaft design,4.0,3.2,4.8,2020-02-12 08:00:00,2020-02-17 17:00:00,,0
25,1.25,Steering support design,3.0,2.4,3.6,2020-02-18 08:00:00,2020-02-20 17:00:00,,0
26,1.26,Dashboard desing,3.0,2.4,3.6,2020-02-05 08:00:00,2020-02-07 17:00:00,,0
27,1.27,Development (external company),15.0,12.0,18.0,2020-02-05 08:00:00,2020-02-25 17:00:00,,0
28,1.28,Steering wheel,4.0,3.2,4.8,2020-02-26 08:00:00,2020-03-02 17:00:00,,0
29,1.29,Universal joints,2.0,1.6,2.4,2020-02-18 08:00:00,2020-02-19 17:00:00,,0
30,1.3,Metal,1.0,0.8,1.2,2020-02-10 08:00:00,2020-02-10 17:00:00,,0
31,1.31,Machining 1,3.0,2.4,3.6,2020-02-20 08:00:00,2020-02-24 17:00:00,,0
32,1.32,Machining 2,2.0,1.6,2.4,2020-02-11 08:00:00,2020-02-12 17:00:00,,0
33,1.33,Design,1.0,0.8,1.2,2020-02-05 08:00:00,2020-02-05 17:00:00,,0
34,1.34,Design,5.0,4.0,6.0,2020-02-05 08:00:00,2020-02-11 17:00:00,,0
35,1.35,Design,7.0,5.6,8.4,2020-02-26 08:00:00,2020-03-05 17:00:00,,0
36,1.36,tubes,6.0,4.8,7.2,2020-02-06 08:00:00,2020-02-13 17:00:00,,0
37,1.37,New pipes structure,8.0,6.4,9.6,2020-02-05 08:00:00,2020-02-14 17:00:00,,0
38,1.38,Actuators clamping,4.0,3.2,4.8,2020-02-26 08:00:00,2020-03-02 17:00:00,,0
39,1.39,Cut and welding,1.0,0.8,1.2,2020-03-03 08:00:00,2020-03-03 17:00:00,,0
40,1.4,Spring design,3.0,2.4,3.6,2020-02-05 08:00:00,2020-02-07 17:00:00,,0
41,1.41,Push rod design,2.0,1.6,2.4,2020-02-05 08:00:00,2020-02-06 17:00:00,,0
42,1.42,round stock Steel C45,1.0,0.8,1.2,2020-02-07 08:00:00,2020-02-07 17:00:00,,0
43,1.43,Spring (ext),2.0,1.6,2.4,2020-02-10 08:00:00,2020-02-11 17:00:00,,0
44,1.44,Push rod cut and welding,1.0,0.8,1.2,2020-02-10 08:00:00,2020-02-10 17:00:00,,0
45,1.45,Update,12.0,9.6,14.4,2020-02-05 08:00:00,2020-02-20 17:00:00,,0
46,1.46,Build & Test,10.0,8.0,12.0,2020-02-05 08:00:00,2020-02-18 17:00:00,,0
47,1.47,Update,12.0,9.6,14.4,2020-02-05 08:00:00,2020-02-20 17:00:00,,0
48,1.48,Build & Test,11.0,8.8,13.2,2020-02-05 08:00:00,2020-02-19 17:00:00,,0
49,1.49,Design,4.0,3.2,4.8,2020-02-05 08:00:00,2020-02-10 17:00:00,,0
50,1.5,Test,1.0,0.8,1.2,2020-02-11 08:00:00,2020-02-11 17:00:00,,0
51,1.51,Board components,4.0,3.2,4.8,2020-02-21 08:00:00,2020-02-26 17:00:00,,0
52,1.52,Boards,4.0,3.2,4.8,2020-02-21 08:00:00,2020-02-26 17:00:00,,0
53,1.53,Laser Cut,1.0,0.8,1.2,2020-02-27 08:00:00,2020-02-27 17:00:00,,0
54,1.54,3D print,1.0,0.8,1.2,2020-02-27 08:00:00,2020-02-27 17:00:00,,0
